lang,topic,topic_in_English
id,La Corda D'Oro,La Corda d'Oro
vi,Kin'iro no Corda,La Corda d'Oro
tr,La Corda d'Oro,La Corda d'Oro
ca,Kin'iro no Corda,La Corda d'Oro
en,Haiku Studios,Haiku Studios
fr,Haïku Studios,Haiku Studios
en,Earth and Sky,Earth and Sky
en,Tom Salta,Tom Salta
ru,"Сальта, Том",Tom Salta
es,Tom Salta,Tom Salta
uk,Том Салта,Tom Salta
ja,トム・サルタ,Tom Salta
pt,Tom Salta,Tom Salta
tg,Tom Salta,Tom Salta
arz,توم سالتا,Tom Salta
azb,تام سالتا,Tom Salta
en,Cabela's Big Game Hunter 2006 Trophy Season,Cabela's Big Game Hunter 2006 Trophy Season
lld,Cabela's Big Game Hunter 2006 Trophy Season,Cabela's Big Game Hunter 2006 Trophy Season
en,Catalyst Game Labs,Catalyst Game Labs
en,Dominos (video game),Dominos (video game)
ca,Dominos (videojoc),Dominos (video game)
en,Dinotopia: The Timestone Pirates,Dinotopia: The Timestone Pirates
fr,Dinotopia: The Timestone Pirates,Dinotopia: The Timestone Pirates
lld,Dinotopia: The Timestone Pirates,Dinotopia: The Timestone Pirates
gl,Dinotopia: The Timestone Pirates,Dinotopia: The Timestone Pirates
nl,Dinotopia: The Timestone Pirates,Dinotopia: The Timestone Pirates
en,Far Cry,Far Cry
ru,Far Cry (серия игр),Far Cry
de,Far Cry,Far Cry
fr,Far Cry,Far Cry
es,Far Cry (serie),Far Cry
ja,Far Cryシリーズ,Far Cry
it,Far Cry (serie),Far Cry
pl,Far Cry (seria),Far Cry
pt,Far Cry (série),Far Cry
tr,Far Cry (seri),Far Cry
zh,孤岛惊魂系列,Far Cry
uk,Far Cry (серія відеоігор),Far Cry
nl,Far Cry (computerspelserie),Far Cry
cs,Far Cry,Far Cry
fi,Far Cry (pelisarja),Far Cry
sv,Far Cry (spelserie),Far Cry
sk,Far Cry (séria),Far Cry
simple,Far Cry,Far Cry
el,Far Cry,Far Cry
sr,Far Cry,Far Cry
ko,파 크라이 (시리즈),Far Cry
az,Far Cry (oyun seriyası),Far Cry
ckb,فار کرای (زنجیرە کایە),Far Cry
wuu,孤岛惊魂系列,Far Cry
en,Battle Gear,Battle Gear
ja,サイドバイサイド,Battle Gear
en,U.B. Funkeys,U.B. Funkeys
es,U.B. Funkeys,U.B. Funkeys
fi,U.B. Funkeys,U.B. Funkeys
no,U.B. Funkeys,U.B. Funkeys
en,Action Force (video game),Action Force (video game)
it,Action Force (videogioco 1987),Action Force (video game)
arz,اكشن فورس,Action Force (video game)
en,Popeye: Ijiwaru Majo Seahag no Maki,Popeye: Ijiwaru Majo Seahag no Maki
ja,ポパイ いじわる魔女シーハッグの巻,Popeye: Ijiwaru Majo Seahag no Maki
it,Popeye: Ijiwaru majo seahag no maki,Popeye: Ijiwaru Majo Seahag no Maki
en,Beatmania IIDX Substream,Beatmania IIDX Substream
arz,بايتمانيا ايدكس سوبسترايم,Beatmania IIDX Substream
lld,Beatmania IIDX Substream,Beatmania IIDX Substream
en,GameCube accessories,GameCube accessories
es,Anexo:Accesorios de GameCube,GameCube accessories
pt,Nintendo GameCube Microphone,GameCube accessories
en,Trecision,Trecision
it,Trecision,Trecision
en,Cursed Mountain,Cursed Mountain
ru,Cursed Mountain,Cursed Mountain
es,La Montaña Maldita,Cursed Mountain
pt,Cursed Mountain,Cursed Mountain
arz,كورسيد مونتاين,Cursed Mountain
hr,Cursed Mountain (videoigra),Cursed Mountain
lld,Cursed Mountain,Cursed Mountain
en,Hello Kitty Online,Hello Kitty Online
es,Hello Kitty Online,Hello Kitty Online
fr,Hello Kitty Online,Hello Kitty Online
ja,ハローキティオンライン,Hello Kitty Online
en,Radiant AI,Radiant AI
ru,Radiant AI,Radiant AI
de,Radiant AI,Radiant AI
ka,Radiant A.I.,Radiant AI
en,Sting: The Secret Operations,Sting: The Secret Operations
ko,스팅 (비디오 게임),Sting: The Secret Operations
en,Secret Service (2008 video game),Secret Service (2008 video game)
it,Secret Service (videogioco 2008),Secret Service (2008 video game)
en,Good-Feel,Good-Feel
ja,グッド・フィール,Good-Feel
fr,Good-Feel,Good-Feel
es,Good-Feel,Good-Feel
pt,Good-Feel,Good-Feel
id,Good-Feel,Good-Feel
nl,Good-Feel,Good-Feel
tr,Good-Feel,Good-Feel
en,Blue Toad Murder Files,Blue Toad Murder Files
fr,Blue Toad Murder Files,Blue Toad Murder Files
en,Cosmi Corporation,Cosmi Corporation
en,Seabase Delta,Seabase Delta
en,M2 (game developer),M2 (game developer)
ja,エムツー (ゲーム会社),M2 (game developer)
fr,M2 (entreprise),M2 (game developer)
it,M2 (azienda),M2 (game developer)
zh,M2 (公司),M2 (game developer)
fi,M2 (videopeliyritys),M2 (game developer)
tr,M2 (şirket),M2 (game developer)
arz,ام 2 (شركه),M2 (game developer)
ko,M2 (기업),M2 (game developer)
en,Super Scribblenauts,Super Scribblenauts
it,Super Scribblenauts,Super Scribblenauts
fr,Super Scribblenauts,Super Scribblenauts
nl,Super Scribblenauts,Super Scribblenauts
de,Super Scribblenauts,Super Scribblenauts
lld,Super Scribblenauts,Super Scribblenauts
en,Outrage Games,Outrage Games
fr,Outrage Entertainment,Outrage Games
fi,Outrage Games,Outrage Games
en,Monster Force (video game),Monster Force (video game)
lld,Monster Force,Monster Force (video game)
en,Resident Evil: Revelations,Resident Evil: Revelations
ja,バイオハザード リベレーションズ,Resident Evil: Revelations
ru,Resident Evil: Revelations,Resident Evil: Revelations
es,Resident Evil: Revelations,Resident Evil: Revelations
zh,生化危機 啟示,Resident Evil: Revelations
it,Resident Evil: Revelations,Resident Evil: Revelations
de,Resident Evil: Revelations,Resident Evil: Revelations
fr,Resident Evil: Revelations,Resident Evil: Revelations
pt,Resident Evil: Revelations,Resident Evil: Revelations
pl,Resident Evil: Revelations,Resident Evil: Revelations
tr,Resident Evil: Revelations,Resident Evil: Revelations
fi,Resident Evil: Revelations,Resident Evil: Revelations
ko,바이오하자드: 레벨레이션스,Resident Evil: Revelations
sv,Resident Evil: Revelations,Resident Evil: Revelations
arz,ريزدنت ايفل: ريفليشنز,Resident Evil: Revelations
da,Resident Evil: Revelations,Resident Evil: Revelations
ka,Resident Evil: Revelations,Resident Evil: Revelations
ckb,ڕێزدێنت ئیڤڵ: ڕێڤەلەیشنز,Resident Evil: Revelations
lld,Resident Evil: Revelations,Resident Evil: Revelations
lt,Resident Evil: Revelations,Resident Evil: Revelations
en,Auto Racing (video game),Auto Racing (video game)
fr,Auto Racing,Auto Racing (video game)
zh,赛车 (游戏),Auto Racing (video game)
lld,Auto Racing,Auto Racing (video game)
en,1987 PBA Reinforced Conference Finals,1987 PBA Reinforced Conference Finals
en,Pokémon Apokélypse,Pokémon Apokélypse
fr,Pokémon Apokélypse,Pokémon Apokélypse
en,Transformers: War for Cybertron (Nintendo DS),Transformers: War for Cybertron (Nintendo DS)
ja,Transformers: War for Cybertron (Nintendo DS),Transformers: War for Cybertron (Nintendo DS)
en,Count Alucard (character),Count Alucard (character)
en,Jonas Eneroth,Jonas Eneroth
en,Love Tester,Love Tester
ja,ラブテスター,Love Tester
fr,Love Tester,Love Tester
id,Love Tester,Love Tester
ko,러브 테스터,Love Tester
en,Daisuke Watanabe,Daisuke Watanabe
ja,渡辺大祐,Daisuke Watanabe
zh,渡邊大佑,Daisuke Watanabe
no,Daisuke Watanabe,Daisuke Watanabe
sv,Daisuke Watanabe,Daisuke Watanabe
ko,와타나베 다이스케 (게임 개발자),Daisuke Watanabe
simple,Daisuke Watanabe,Daisuke Watanabe
en,No Time to Explain,No Time to Explain
fr,No Time to Explain,No Time to Explain
tr,No Time to Explain,No Time to Explain
hu,No Time to Explain,No Time to Explain
en,Pathology (band),Pathology (band)
ru,Pathology,Pathology (band)
de,Pathology (Band),Pathology (band)
nl,Pathology (band),Pathology (band)
pt,Pathology (banda),Pathology (band)
hu,Pathology,Pathology (band)
en,Supermono Studios,Supermono Studios
en,Assassin's Creed: Embers,Assassin's Creed: Embers
it,Assassin's Creed: Embers,Assassin's Creed: Embers
ru,Кредо убийцы: Угли,Assassin's Creed: Embers
es,Assassin's Creed: Embers,Assassin's Creed: Embers
fr,Assassin's Creed: Embers,Assassin's Creed: Embers
zh,刺客教條：餘燼,Assassin's Creed: Embers
pt,Assassin's Creed: Embers,Assassin's Creed: Embers
uk,Кредо Асасина: Попіл,Assassin's Creed: Embers
en,King Arthur II: The Role-Playing Wargame,King Arthur II: The Role-Playing Wargame
ru,King Arthur II: The Role-Playing Wargame,King Arthur II: The Role-Playing Wargame
it,King Arthur II: The Role-playing Wargame,King Arthur II: The Role-Playing Wargame
fr,King Arthur II: The Role-Playing Wargame,King Arthur II: The Role-Playing Wargame
lld,King Arthur II: The Role-Playing Wargame,King Arthur II: The Role-Playing Wargame
en,Inazuma Eleven GO (manga),Inazuma Eleven GO (manga)
es,Inazuma Eleven GO (manga),Inazuma Eleven GO (manga)
ru,Inazuma Eleven GO,Inazuma Eleven GO (manga)
pt,Inazuma Eleven GO (mangá),Inazuma Eleven GO (manga)
ca,Inazuma Eleven GO (manga),Inazuma Eleven GO (manga)
en,Super Ox Wars,Super Ox Wars
en,Gavin Free,Gavin Free
de,Gavin Free,Gavin Free
sv,Gavin Free,Gavin Free
it,Gavin Free,Gavin Free
arz,جافين فرى,Gavin Free
pt,Gavin Free,Gavin Free
en,BlazBlue: Clone Phantasma,BlazBlue: Clone Phantasma
en,Erica Mendez,Erica Mendez
ja,エリカ・メンデス,Erica Mendez
es,Erica Mendez,Erica Mendez
zh,埃莉卡·文迪絲,Erica Mendez
pl,Erica Mendez,Erica Mendez
arz,ايريكا مينديز,Erica Mendez
el,Έρικα Μέντεζ,Erica Mendez
af,Erica Mendez,Erica Mendez
en,Velocity (video game),Velocity (video game)
arz,ڤيلوسيتى,Velocity (video game)
en,Jinx (video game),Jinx (video game)
it,Jinx (videogioco),Jinx (video game)
en,Dysfunctional Systems,Dysfunctional Systems
en,PowerA,PowerA
simple,PowerA,PowerA
en,Deus Ex: The Fall,Deus Ex: The Fall
ru,Deus Ex: The Fall,Deus Ex: The Fall
fr,Deus Ex: The Fall,Deus Ex: The Fall
de,Deus Ex: The Fall,Deus Ex: The Fall
uk,Deus Ex: The Fall,Deus Ex: The Fall
pt,Deus Ex: The Fall,Deus Ex: The Fall
pl,Deus Ex: The Fall,Deus Ex: The Fall
zh,杀出重围：陨落,Deus Ex: The Fall
hu,Deus Ex: The Fall,Deus Ex: The Fall
arz,ديوس اكس: ث فال,Deus Ex: The Fall
en,Invizimals: The Alliance,Invizimals: The Alliance
it,Invizimals: L'alleanza,Invizimals: The Alliance
hu,Invizimals: The Alliance,Invizimals: The Alliance
arz,انفيزيمالس: ذا الاينس,Invizimals: The Alliance
en,Playism,Playism
ja,PLAYISM,Playism
zh,PLAYISM,Playism
ko,플레이즘,Playism
fr,Playism,Playism
nl,Playism,Playism
arz,پلايسم,Playism
en,Spiders (company),Spiders (company)
ru,Spiders (компания),Spiders (company)
fr,Spiders (entreprise),Spiders (company)
de,Spiders (Spieleentwickler),Spiders (company)
zh,Spiders (公司),Spiders (company)
fi,Spiders (yritys),Spiders (company)
arz,سپايدرز,Spiders (company)
en,Kunos Simulazioni,Kunos Simulazioni
de,Kunos Simulazioni,Kunos Simulazioni
fr,Kunos Simulazioni,Kunos Simulazioni
es,Kunos Simulazioni,Kunos Simulazioni
fi,Kunos Simulazioni,Kunos Simulazioni
en,Las Vegas (board game),Las Vegas (board game)
de,Las Vegas (Spiel),Las Vegas (board game)
it,Las Vegas (gioco da tavolo),Las Vegas (board game)
en,Rendezvous: A Space Shuttle Simulation,Rendezvous: A Space Shuttle Simulation
en,CastleStorm,CastleStorm
fr,CastleStorm,CastleStorm
hu,CastleStorm,CastleStorm
pl,Castlestorm,CastleStorm
en,Wings of Vi,Wings of Vi
en,Randy Lew,Randy Lew
de,Randy Lew,Randy Lew
en,The Game Awards 2014,The Game Awards 2014
ru,The Game Awards 2014,The Game Awards 2014
pt,The Game Awards 2014,The Game Awards 2014
fr,The Game Awards 2014,The Game Awards 2014
it,The Game Awards 2014,The Game Awards 2014
pl,The Game Awards 2014,The Game Awards 2014
zh,2014年遊戲大獎,The Game Awards 2014
tr,2014 The Game Awards,The Game Awards 2014
id,The Game Awards 2014,The Game Awards 2014
uk,The Game Awards 2014,The Game Awards 2014
en,Chris Birch (game designer),Chris Birch (game designer)
en,Smoking Gun Interactive,Smoking Gun Interactive
de,Smoking Gun Interactive,Smoking Gun Interactive
en,Taito of Brazil,Taito of Brazil
en,Video games in Nigeria,Video games in Nigeria
zh,尼日利亚电子游戏产业,Video games in Nigeria
en,Stellaris (video game),Stellaris (video game)
ru,Stellaris,Stellaris (video game)
zh,群星 (游戏),Stellaris (video game)
de,Stellaris,Stellaris (video game)
ja,Stellaris,Stellaris (video game)
fr,Stellaris,Stellaris (video game)
es,Stellaris,Stellaris (video game)
it,Stellaris (videogioco 2016),Stellaris (video game)
pl,Stellaris,Stellaris (video game)
uk,Stellaris,Stellaris (video game)
cs,Stellaris,Stellaris (video game)
tr,Stellaris,Stellaris (video game)
ko,스텔라리스,Stellaris (video game)
pt,Stellaris (jogo eletrônico),Stellaris (video game)
sv,Stellaris (spel),Stellaris (video game)
nl,Stellaris (computerspel),Stellaris (video game)
fi,Stellaris (videopeli),Stellaris (video game)
vi,Stellaris,Stellaris (video game)
hu,Stellaris (videójáték),Stellaris (video game)
da,Stellaris,Stellaris (video game)
ro,Stellaris (joc video),Stellaris (video game)
bn,স্টেলারিস (ভিডিও গেম),Stellaris (video game)
gl,Stellaris,Stellaris (video game)
arz,ستيلاريس,Stellaris (video game)
ka,Stellaris,Stellaris (video game)
uz,Stellaris,Stellaris (video game)
nn,Stellaris,Stellaris (video game)
en,Smash Champs,Smash Champs
ja,Smash Champs,Smash Champs
en,LMQ (esports),LMQ (esports)
en,Contradiction: Spot the Liar!,Contradiction: Spot the Liar!
pl,Contradiction: Spot the Liar!,Contradiction: Spot the Liar!
en,Tiny Troopers,Tiny Troopers
en,Erika Harlacher,Erika Harlacher
ja,エリカ・ハーラーチャー,Erika Harlacher
ko,에리카 할래커,Erika Harlacher
ckb,ئیریکا ھارلەچێر,Erika Harlacher
af,Erika Harlacher,Erika Harlacher
arz,ايريكا هارلاكر,Erika Harlacher
en,Xmithie,Xmithie
en,Picross e,Picross e
fr,Picross e,Picross e
en,Out of the Park Developments,Out of the Park Developments
ja,SINoALICE -シノアリス-,SINoALICE
en,SINoALICE,SINoALICE
zh,死亡愛麗絲,SINoALICE
es,SINoALICE,SINoALICE
ru,SINoALICE,SINoALICE
fr,SINoALICE,SINoALICE
it,SINoALICE,SINoALICE
pt,SINoALICE,SINoALICE
fi,SINoALICE,SINoALICE
ko,시노앨리스,SINoALICE
uk,SINoALICE,SINoALICE
en,Air Combat (arcade game),Air Combat (arcade game)
en,Mango Plumo,Mango Plumo
en,Starlink: Battle for Atlas,Starlink: Battle for Atlas
ru,Starlink: Battle for Atlas,Starlink: Battle for Atlas
fr,Starlink: Battle for Atlas,Starlink: Battle for Atlas
es,Starlink: Battle for Atlas,Starlink: Battle for Atlas
it,Starlink: Battle for Atlas,Starlink: Battle for Atlas
zh,銀河聯軍：阿特拉斯之戰,Starlink: Battle for Atlas
th,สตาร์ลิงก์: แบตเทิลฟอร์แอตลาส,Starlink: Battle for Atlas
en,Maze Craze,Maze Craze
ca,Maze Craze,Maze Craze
en,Civilization VI: Rise and Fall,Civilization VI: Rise and Fall
fr,Civilization VI: Rise and Fall,Civilization VI: Rise and Fall
ja,Civilization VI: 文明の興亡,Civilization VI: Rise and Fall
pl,Civilization VI: Rise and Fall,Civilization VI: Rise and Fall
es,Civilization VI: Rise and Fall,Civilization VI: Rise and Fall
zh,文明VI：迭起兴衰,Civilization VI: Rise and Fall
pt,Civilization VI: Rise and Fall,Civilization VI: Rise and Fall
nl,Civilization VI: Rise and Fall,Civilization VI: Rise and Fall
ko,문명 VI: 흥망성쇠,Civilization VI: Rise and Fall
de,Civilization VI: Rise and Fall,Civilization VI: Rise and Fall
en,Chessaria: The Tactical Adventure,Chessaria: The Tactical Adventure
lld,Chessaria: The Tactical Adventure,Chessaria: The Tactical Adventure
en,Breakout 2000,Breakout 2000
ru,Breakout 2000,Breakout 2000
fr,Breakout 2000,Breakout 2000
zh-yue,打磚塊2000,Breakout 2000
nl,Breakout 2000,Breakout 2000
en,The Quacks of Quedlinburg,The Quacks of Quedlinburg
de,Die Quacksalber von Quedlinburg,The Quacks of Quedlinburg
fr,Les Charlatans de Belcastel,The Quacks of Quedlinburg
pl,Sołtys (gra komputerowa),Sołtys (video game)
en,Sołtys (video game),Sołtys (video game)
en,American Hero (video game),American Hero (video game)
en,Hyborian War,Hyborian War
en,Dragon 32/64,Dragon 32/64
es,Dragon 32/64,Dragon 32/64
de,"Dragon 32, Dragon 64",Dragon 32/64
fr,Dragon 32,Dragon 32/64
it,Dragon 32/64,Dragon 32/64
no,Dragon 32/64,Dragon 32/64
ru,Dragon 32/64,Dragon 32/64
fi,Dragon 32/64,Dragon 32/64
sv,Dragon 32/64,Dragon 32/64
nl,Dragon 32/64,Dragon 32/64
ca,Dragon 32/64,Dragon 32/64
cs,Dragon 32,Dragon 32/64
hr,Dragon 32/64,Dragon 32/64
nn,Dragon 32/64,Dragon 32/64
cy,Dragon 32/64,Dragon 32/64
en,Fighting Fantasy,Fighting Fantasy
ja,ファイティング・ファンタジー,Fighting Fantasy
pt,Aventuras Fantásticas,Fighting Fantasy
da,Sværd og trolddom,Fighting Fantasy
de,Fighting Fantasy,Fighting Fantasy
it,Dimensione avventura,Fighting Fantasy
hu,Fighting Fantasy,Fighting Fantasy
ru,Fighting Fantasy,Fighting Fantasy
fr,Défis fantastiques,Fighting Fantasy
cs,Fighting Fantasy,Fighting Fantasy
es,Fighting Fantasy,Fighting Fantasy
fi,Taistelupeli (kirjasarja),Fighting Fantasy
sv,Fighting Fantasy,Fighting Fantasy
ms,Fighting Fantasy,Fighting Fantasy
en,Pinball Construction Set,Pinball Construction Set
it,Pinball Construction Set,Pinball Construction Set
ja,ピンボール・コンストラクション・セット,Pinball Construction Set
fr,Pinball Construction Set,Pinball Construction Set
de,Pinball Construction Set,Pinball Construction Set
hr,Pinball Construction Set,Pinball Construction Set
lld,Pinball Construction Set,Pinball Construction Set
en,Commodore CDTV,Commodore CDTV
pl,Amiga CDTV,Commodore CDTV
de,CDTV,Commodore CDTV
it,Commodore CDTV,Commodore CDTV
fr,Amiga CDTV,Commodore CDTV
ru,Amiga CDTV,Commodore CDTV
ja,Commodore CDTV,Commodore CDTV
es,CD-TV,Commodore CDTV
pt,Amiga CDTV,Commodore CDTV
tr,Amiga CDTV,Commodore CDTV
fi,Commodore CDTV,Commodore CDTV
sv,Commodore CDTV,Commodore CDTV
nl,Commodore CDTV,Commodore CDTV
hr,Amiga CDTV,Commodore CDTV
uk,Amiga CDTV,Commodore CDTV
ast,CD-TV,Commodore CDTV
simple,Commodore CDTV,Commodore CDTV
sr,Commodore CDTV,Commodore CDTV
ka,Commodore CDTV,Commodore CDTV
qu,Commodore CDTV,Commodore CDTV
sh,Amiga CDTV,Commodore CDTV
ms,Commodore CDTV,Commodore CDTV
en,Escape from Monkey Island,Escape from Monkey Island
de,Flucht von Monkey Island,Escape from Monkey Island
it,Fuga da Monkey Island,Escape from Monkey Island
ru,Escape from Monkey Island,Escape from Monkey Island
fr,Escape from Monkey Island,Escape from Monkey Island
es,La Fuga de Monkey Island,Escape from Monkey Island
pt,Escape from Monkey Island,Escape from Monkey Island
pl,Escape from Monkey Island,Escape from Monkey Island
fi,Escape from Monkey Island,Escape from Monkey Island
sv,Escape from Monkey Island,Escape from Monkey Island
zh,猴島小英雄 逃離猴島,Escape from Monkey Island
tr,Escape from Monkey Island,Escape from Monkey Island
nl,Escape from Monkey Island,Escape from Monkey Island
el,Escape from Monkey Island,Escape from Monkey Island
ca,Escape from Monkey Island,Escape from Monkey Island
no,Escape from Monkey Island,Escape from Monkey Island
nn,Escape from Monkey Island,Escape from Monkey Island
arz,اسكاپ فروم مونكى ايسلاند,Escape from Monkey Island
lld,Escape from Monkey Island,Escape from Monkey Island
en,Japan Amusement Machine and Marketing Association,Japan Amusement Machine and Marketing Association
ja,日本アミューズメントマシン協会,Japan Amusement Machine and Marketing Association
it,Japan Amusement Machinery Manufacturers Association,Japan Amusement Machine and Marketing Association
de,JAMMA,Japan Amusement Machine and Marketing Association
es,Japanese Amusement Machine Manufacturers' Association,Japan Amusement Machine and Marketing Association
pt,JAMMA,Japan Amusement Machine and Marketing Association
fr,Japan Amusement Machinery Manufacturers Association,Japan Amusement Machine and Marketing Association
nl,Japanese Amusement Machine Manufacturers Association,Japan Amusement Machine and Marketing Association
ca,JAMMA,Japan Amusement Machine and Marketing Association
ko,일본 어뮤즈먼트머신 공업협회,Japan Amusement Machine and Marketing Association
en,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey
ru,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey
de,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey
es,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey
pl,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey
fr,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey
no,Drømmefall – Den lengste reisen,Dreamfall: The Longest Journey
it,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey
uk,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey
cs,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey
nl,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey
pt,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey
hu,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey
