lang,topic,topic_in_English
it,I pinguini di Madagascar: Il ritorno del dottor Blowhole,The Penguins of Madagascar: Dr. Blowhole Returns – Again!
arz,ث پينجوينس اوف ماداجاسكار: در. بلواول ريتورنس اجاين!,The Penguins of Madagascar: Dr. Blowhole Returns – Again!
en,Inazuma Eleven 3,Inazuma Eleven 3
ja,イナズマイレブン3 世界への挑戦!!,Inazuma Eleven 3
es,Inazuma Eleven 3,Inazuma Eleven 3
it,Inazuma Eleven 3,Inazuma Eleven 3
fr,Inazuma Eleven 3,Inazuma Eleven 3
de,Inazuma Eleven 3: Kettenblitz und Explosion,Inazuma Eleven 3
zh,閃電十一人3 挑戰世界！！,Inazuma Eleven 3
ko,이나즈마 일레븐 3: 세계로의 도전!!,Inazuma Eleven 3
th,อินาสึมะอีเลฟเวน 3 เซไค เอะ โนะ โจเซ็น!!,Inazuma Eleven 3
lld,Inazuma Eleven 3,Inazuma Eleven 3
en,Felyne,Felyne
ja,アイルー,Felyne
en,Ratchet,Ratchet & Clank Collection
ko,래칫,Ratchet & Clank Collection
ru,Ratchet,Ratchet & Clank Collection
ja,ラチェット (曖昧さ回避),Ratchet & Clank Collection
fr,Ratchet,Ratchet & Clank Collection
it,Ratchet,Ratchet & Clank Collection
fi,Ratchet,Ratchet & Clank Collection
en,Hot Wheels: Track Attack,Hot Wheels: Track Attack
es,Hot Wheels: Track Attack,Hot Wheels: Track Attack
it,Hot Wheels: Track Attack,Hot Wheels: Track Attack
arz,هوت وايلس تراك اتاك,Hot Wheels: Track Attack
lld,Hot Wheels Track Attack,Hot Wheels: Track Attack
en,Warhammer Online: Wrath of Heroes,Warhammer Online: Wrath of Heroes
pt,Warhammer Online: Wrath of Heroes,Warhammer Online: Wrath of Heroes
id,Warhammer Online: Wrath of Heroes,Warhammer Online: Wrath of Heroes
ja,ミネルバトンサーガ ラゴンの復活,Minelvaton Saga: Ragon no Fukkatsu
en,Minelvaton Saga: Ragon no Fukkatsu,Minelvaton Saga: Ragon no Fukkatsu
en,Anna (video game),Anna (video game)
es,Anna (videojuego),Anna (video game)
it,Anna (videogioco),Anna (video game)
en,Naoki Yoshida,Naoki Yoshida
ja,吉田直樹 (ゲームクリエイター),Naoki Yoshida
zh,吉田直树,Naoki Yoshida
fr,Naoki Yoshida,Naoki Yoshida
pt,Naoki Yoshida,Naoki Yoshida
it,Naoki Yoshida,Naoki Yoshida
th,นาโอกิ โยชิดะ,Naoki Yoshida
tr,Naoki Yoshida,Naoki Yoshida
en,The Sims FreePlay,The Sims FreePlay
ru,The Sims FreePlay,The Sims FreePlay
id,The Sims FreePlay,The Sims FreePlay
es,Los Sims FreePlay,The Sims FreePlay
it,The Sims FreePlay,The Sims FreePlay
pt,The Sims FreePlay,The Sims FreePlay
zh,模拟人生免费版,The Sims FreePlay
fr,Les Sims Freeplay,The Sims FreePlay
de,Die Sims FreiSpiel,The Sims FreePlay
vi,The Sims FreePlay,The Sims FreePlay
ko,심즈 프리플레이,The Sims FreePlay
th,เดอะซิมส์ ฟรีเพลย์,The Sims FreePlay
nl,The Sims FreePlay,The Sims FreePlay
arz,ث سيمس فريپلاى,The Sims FreePlay
gl,The Sims FreePlay,The Sims FreePlay
lld,The Sims FreePlay,The Sims FreePlay
en,Assassin's Creed (book series),Assassin's Creed (book series)
ru,Assassin’s Creed (серия книг),Assassin's Creed (book series)
pt,Assassin's Creed (série de livros),Assassin's Creed (book series)
zh,刺客信条 (小说),Assassin's Creed (book series)
bg,Орденът на асасините (поредица),Assassin's Creed (book series)
cs,Assassin's Creed (knižní série),Assassin's Creed (book series)
nl,Assassin's Creed (boekenserie),Assassin's Creed (book series)
uk,Assassin's Creed (серія творів),Assassin's Creed (book series)
th,อัสแซสซินส์ครีด (หนังสือชุด),Assassin's Creed (book series)
en,Kentucky Route Zero,Kentucky Route Zero
fr,Kentucky Route Zero,Kentucky Route Zero
de,Kentucky Route Zero,Kentucky Route Zero
es,Kentucky Route Zero,Kentucky Route Zero
zh,肯塔基州零號公路,Kentucky Route Zero
hu,Kentucky Route Zero,Kentucky Route Zero
sv,Kentucky Route Zero,Kentucky Route Zero
ko,켄터키 루트 제로,Kentucky Route Zero
lld,Kentucky Route Zero,Kentucky Route Zero
arz,كينتوكى روت زيرو,Kentucky Route Zero
en,Atlus USA,Atlus USA
en,Plants vs. Zombies 2,Plants vs. Zombies 2
ru,Plants vs. Zombies 2: It’s About Time,Plants vs. Zombies 2
es,Plants vs. Zombies 2: It's About Time,Plants vs. Zombies 2
vi,Plants vs. Zombies 2,Plants vs. Zombies 2
zh,植物大战僵尸2：奇妙时空之旅,Plants vs. Zombies 2
it,Plants vs. Zombies 2: It's About Time,Plants vs. Zombies 2
pt,Plants vs. Zombies 2: It's About Time,Plants vs. Zombies 2
fr,Plants vs. Zombies 2: It's About Time,Plants vs. Zombies 2
tr,Plants vs. Zombies 2: It's About Time,Plants vs. Zombies 2
id,Plants vs. Zombies 2,Plants vs. Zombies 2
uk,Plants vs. Zombies 2: It's About Time,Plants vs. Zombies 2
pl,Plants vs. Zombies 2: It’s About Time,Plants vs. Zombies 2
simple,Plants vs. Zombies 2,Plants vs. Zombies 2
ko,플랜츠 vs. 좀비 2,Plants vs. Zombies 2
ro,Plants vs. Zombies 2: It's About Time,Plants vs. Zombies 2
hu,Plants vs. Zombies 2: It’s About Time,Plants vs. Zombies 2
cs,Plants vs. Zombies 2: It's About Time,Plants vs. Zombies 2
tl,Plants vs. Zombies 2: It's About Time,Plants vs. Zombies 2
wuu,植物大战僵尸2：奇妙时空之旅,Plants vs. Zombies 2
fi,Plants vs. Zombies 2: It’s About Time,Plants vs. Zombies 2
sv,Plants vs. Zombies 2: It's About Time,Plants vs. Zombies 2
tk,Plants vs. Zombies 2,Plants vs. Zombies 2
arz,بلانيت ضد زامبى 2,Plants vs. Zombies 2
gl,Plants vs. Zombies 2: It's About Time,Plants vs. Zombies 2
lld,Plants vs. Zombies 2: It's About Time,Plants vs. Zombies 2
en,Daemonica,Daemonica
cs,Daemonica,Daemonica
pl,Daemonica,Daemonica
en,Inazuma Eleven GO 2: Chrono Stone,Inazuma Eleven GO 2: Chrono Stone
zh,閃電十一人GO2 時空之石,Inazuma Eleven GO 2: Chrono Stone
it,Inazuma Eleven GO Chrono Stones (videogioco),Inazuma Eleven GO 2: Chrono Stone
es,Inazuma Eleven GO 2: Chrono Stone,Inazuma Eleven GO 2: Chrono Stone
fr,Inazuma Eleven GO 2: Chrono Stone (jeu vidéo),Inazuma Eleven GO 2: Chrono Stone
ko,이나즈마 일레븐 GO 2 크로노 스톤,Inazuma Eleven GO 2: Chrono Stone
th,อินาสึมะอีเลฟเวน GO 2 โครโน สโตน,Inazuma Eleven GO 2: Chrono Stone
lld,Inazuma Eleven GO 2: Chrono Stone,Inazuma Eleven GO 2: Chrono Stone
en,Scoops — Ice Cream Fun for Everyone,Scoops — Ice Cream Fun for Everyone
en,MOSS (company),MOSS (company)
ja,MOSS (ゲーム会社),MOSS (company)
it,MOSS (azienda),MOSS (company)
en,The Golf Club,The Golf Club
en,Scalebound,Scalebound
ru,Scalebound,Scalebound
es,Scalebound,Scalebound
pt,Scalebound,Scalebound
fr,Scalebound,Scalebound
zh,龍鱗化身,Scalebound
tr,Scalebound,Scalebound
en,Star Fox Zero,Star Fox Zero
ja,スターフォックス ゼロ,Star Fox Zero
es,Star Fox Zero,Star Fox Zero
fr,Star Fox Zero,Star Fox Zero
ru,Star Fox Zero,Star Fox Zero
de,Star Fox Zero,Star Fox Zero
pt,Star Fox Zero,Star Fox Zero
it,Star Fox Zero,Star Fox Zero
zh,星际火狐 零,Star Fox Zero
nl,Star Fox Zero,Star Fox Zero
id,Star Fox Zero,Star Fox Zero
sv,Star Fox Zero,Star Fox Zero
fi,Star Fox Zero,Star Fox Zero
ko,스타폭스 제로,Star Fox Zero
lt,Star Fox Zero,Star Fox Zero
arz,ستار فوكس زيرو,Star Fox Zero
ca,Star Fox Zero,Star Fox Zero
en,EarthBound fandom,EarthBound fandom
en,SFB Games,SFB Games
es,SFB Games,SFB Games
fr,SFB Games,SFB Games
en,The Ensign (video game),The Ensign (video game)
en,Letterpress (video game),Letterpress (video game)
en,Reliance Games,Reliance Games
en,Mulan (video game),Mulan (video game)
en,Kaptain Brawe: A Brawe New World,Kaptain Brawe: A Brawe New World
en,Vampire Holmes,Vampire Holmes
ja,VAMPIRE HOLMES,Vampire Holmes
zh,吸血鬼福爾摩斯,Vampire Holmes
it,Vampire Holmes,Vampire Holmes
en,K',K'
ja,K',K'
es,K',K'
fr,K',K'
ko,K',K'
th,K′,K'
it,K',K'
pt,K',K'
en,Detroit: Become Human,Detroit: Become Human
ru,Detroit: Become Human,Detroit: Become Human
ja,デトロイト ビカム ヒューマン,Detroit: Become Human
de,Detroit: Become Human,Detroit: Become Human
fr,Detroit: Become Human,Detroit: Become Human
es,Detroit: Become Human,Detroit: Become Human
zh,底特律：變人,Detroit: Become Human
it,Detroit: Become Human,Detroit: Become Human
pt,Detroit: Become Human,Detroit: Become Human
pl,Detroit: Become Human,Detroit: Become Human
tr,Detroit: Become Human,Detroit: Become Human
uk,Detroit: Become Human,Detroit: Become Human
nl,Detroit: Become Human,Detroit: Become Human
fi,Detroit: Become Human,Detroit: Become Human
ko,디트로이트: 비컴 휴먼,Detroit: Become Human
id,Detroit: Become Human,Detroit: Become Human
th,ดีทรอยต์: บีคัมฮิวแมน,Detroit: Become Human
ro,Detroit: Become Human,Detroit: Become Human
ca,Detroit: Become Human,Detroit: Become Human
az,Detroit: Become Human,Detroit: Become Human
arz,ديترويت: بيكم هيومن,Detroit: Become Human
hy,Detroit: Become Human,Detroit: Become Human
ms,Detroit: Become Human,Detroit: Become Human
cv,Detroit: Become Human,Detroit: Become Human
en,Infinity (video game series),Infinity (video game series)
fr,Infinity (série de jeux vidéo),Infinity (video game series)
es,Infinity (serie de videojuegos),Infinity (video game series)
en,Battalion 1944,Battalion 1944
de,Battalion 1944,Battalion 1944
cs,Battalion 1944,Battalion 1944
fr,Battalion 1944,Battalion 1944
vi,Battalion 1944,Battalion 1944
arz,باتليون 1944,Battalion 1944
en,Final Fantasy: World Wide Words,Final Fantasy: World Wide Words
ru,EHOME,EHOME
en,EHOME,EHOME
zh,EHOME,EHOME
en,Rain World,Rain World
ru,Rain World,Rain World
es,Rain World,Rain World
zh,雨世界,Rain World
de,Rain World,Rain World
fr,Rain World,Rain World
arz,راين ورلد,Rain World
uz,Rain World,Rain World
ms,Rain World,Rain World
en,Studio Wildcard,Studio Wildcard
fr,Studio Wildcard,Studio Wildcard
pl,Studio Wildcard,Studio Wildcard
en,Valley (video game),Valley (video game)
en,Perception (video game),Perception (video game)
es,Perception (videojuego),Perception (video game)
fr,Perception (jeu vidéo),Perception (video game)
el,Perception,Perception (video game)
en,Math Blaster Jr.,Math Blaster Jr.
en,Loot Drop,Loot Drop
en,SoCal Regionals 2017,SoCal Regionals 2017
en,Silver Ball Gardens,Silver Ball Gardens
en,Pellic Quest,Pellic Quest
en,Richard Ludlow,Richard Ludlow
it,Ciro Imparato,Ciro Imparato
en,Ciro Imparato,Ciro Imparato
arz,سيرو امبراتو,Ciro Imparato
vi,GAM Esports,GAM Esports
en,GAM Esports,GAM Esports
en,IMG International Tour Tennis,IMG International Tour Tennis
fr,IMG International Tour Tennis,IMG International Tour Tennis
en,Sega Genesis Mini,Sega Genesis Mini
ja,メガドライブ ミニ,Sega Genesis Mini
fr,Mega Drive Mini,Sega Genesis Mini
de,Sega Mega Drive Mini,Sega Genesis Mini
es,Sega Mega Drive Mini,Sega Genesis Mini
zh,Mega Drive Mini,Sega Genesis Mini
nl,Sega Mega Drive Mini,Sega Genesis Mini
ko,메가 드라이브 미니,Sega Genesis Mini
fi,Mega Drive Mini,Sega Genesis Mini
id,Sega Genesis Mini,Sega Genesis Mini
arz,سيجا جينسيس مينى,Sega Genesis Mini
qu,Sega Genesis Mini,Sega Genesis Mini
en,Barrage (video game),Barrage (video game)
en,List of cancelled games for NEC consoles,List of cancelled games for NEC consoles
en,Wilmot's Warehouse,Wilmot's Warehouse
ja,Wilmot's Warehouse,Wilmot's Warehouse
de,Hermann Baisch,Hermann Baisch
en,Hermann Baisch,Hermann Baisch
ja,ヘルマン・バイシュ,Hermann Baisch
fr,Hermann Baisch,Hermann Baisch
ru,"Байш, Герман",Hermann Baisch
arz,هيرمان بايش,Hermann Baisch
en,Final Fantasy Mystic Quest,Final Fantasy Mystic Quest
ja,ファイナルファンタジーUSA ミスティッククエスト,Final Fantasy Mystic Quest
de,Mystic Quest Legend,Final Fantasy Mystic Quest
fr,Mystic Quest Legend,Final Fantasy Mystic Quest
es,Final Fantasy Mystic Quest,Final Fantasy Mystic Quest
pt,Final Fantasy Mystic Quest,Final Fantasy Mystic Quest
it,Mystic Quest Legend,Final Fantasy Mystic Quest
ru,Final Fantasy Mystic Quest,Final Fantasy Mystic Quest
zh,最终幻想 神秘历险,Final Fantasy Mystic Quest
pl,Mystic Quest Legend,Final Fantasy Mystic Quest
uk,Final Fantasy Mystic Quest,Final Fantasy Mystic Quest
ko,파이널 판타지 미스틱 퀘스트,Final Fantasy Mystic Quest
nl,Final Fantasy Mystic Quest,Final Fantasy Mystic Quest
fi,Final Fantasy Mystic Quest,Final Fantasy Mystic Quest
sv,Mystic Quest Legend,Final Fantasy Mystic Quest
arz,فينال فانتاسى ميستيك كويست,Final Fantasy Mystic Quest
en,Tigris and Euphrates,Tigris and Euphrates
de,Euphrat & Tigris,Tigris and Euphrates
pl,Eufrat i Tygrys,Tigris and Euphrates
fr,Tigre & Euphrate,Tigris and Euphrates
it,Tigris & Euphrates,Tigris and Euphrates
da,Eufrat & Tigris,Tigris and Euphrates
en,720°,720°
ru,720°,720°
it,720°,720°
fr,720°,720°
el,720°,720°
nl,720°,720°
sv,720°,720°
lld,720°,720°
lmo,720°,720°
ro,720 Degrees,720°
en,Bombuzal,Bombuzal
ja,ボンバザル,Bombuzal
it,Bombuzal,Bombuzal
fr,Bombuzal,Bombuzal
lld,Bombuzal,Bombuzal
nl,Bombuzal,Bombuzal
en,The Way of the Exploding Fist,The Way of the Exploding Fist
de,The Way of the Exploding Fist,The Way of the Exploding Fist
ru,The Way of the Exploding Fist,The Way of the Exploding Fist
it,The Way of the Exploding Fist,The Way of the Exploding Fist
fr,The Way of the Exploding Fist,The Way of the Exploding Fist
lld,The Way of the Exploding Fist,The Way of the Exploding Fist
en,River City Ransom,River City Ransom
ja,ダウンタウン熱血物語,River City Ransom
zh,热血物语,River City Ransom
es,River City Ransom,River City Ransom
it,Street Gangs,River City Ransom
fr,Street Gangs,River City Ransom
ko,다운타운 열혈 이야기,River City Ransom
th,คุนิโอะดาวน์ทาวน์,River City Ransom
pl,River City Ransom,River City Ransom
fi,River City Ransom,River City Ransom
nl,River City Ransom,River City Ransom
sv,River City Ransom,River City Ransom
wuu,热血物语,River City Ransom
arz,ريڤير سيتى رانسوم,River City Ransom
en,Howard Scott Warshaw,Howard Scott Warshaw
zh,霍华德·斯科特·华沙,Howard Scott Warshaw
es,Howard Scott Warshaw,Howard Scott Warshaw
it,Howard Scott Warshaw,Howard Scott Warshaw
ja,ハワード・スコット・ウォーショウ,Howard Scott Warshaw
de,Howard Scott Warshaw,Howard Scott Warshaw
fr,Howard Scott Warshaw,Howard Scott Warshaw
pt,Howard Scott Warshaw,Howard Scott Warshaw
arz,هوارد سكوت وارشو,Howard Scott Warshaw
mg,Howard Scott Warshaw,Howard Scott Warshaw
en,Phantom Entertainment,Phantom Entertainment
pl,The Phantom,Phantom Entertainment
fr,Phantom (console de jeux),Phantom Entertainment
it,Phantom (console),Phantom Entertainment
sv,Phantom (spelkonsol),Phantom Entertainment
en,Manhunter: New York,Manhunter: New York
ru,Manhunter: New York,Manhunter: New York
sv,Manhunter: New York,Manhunter: New York
nl,Manhunter: New York,Manhunter: New York
lld,Manhunter: New York,Manhunter: New York
en,Madden NFL 2004,Madden NFL 2004
ru,Madden NFL 2004,Madden NFL 2004
es,Madden NFL 2004,Madden NFL 2004
fr,Madden NFL 2004,Madden NFL 2004
pt,Madden NFL 2004,Madden NFL 2004
it,Madden NFL 2004,Madden NFL 2004
de,Madden NFL 2004,Madden NFL 2004
sv,Madden NFL 2004,Madden NFL 2004
lld,Madden NFL 2004,Madden NFL 2004
en,Reflexive Entertainment,Reflexive Entertainment
ru,Reflexive Entertainment,Reflexive Entertainment
ja,Reflexive Entertainment,Reflexive Entertainment
pt,Reflexive Entertainment,Reflexive Entertainment
hy,Reflexive Entertainment,Reflexive Entertainment
no,Reflexive Entertainment,Reflexive Entertainment
en,R.C. Pro-Am,R.C. Pro-Am
ru,R.C. Pro-Am,R.C. Pro-Am
es,R.C. Pro-Am,R.C. Pro-Am
fr,R.C. Pro-Am (jeu vidéo),R.C. Pro-Am
pt,R.C. Pro-Am,R.C. Pro-Am
zh,R.C. Pro-Am,R.C. Pro-Am
it,R.C. Pro-Am,R.C. Pro-Am
sv,RC Pro-Am,R.C. Pro-Am
nl,R.C. Pro-Am,R.C. Pro-Am
th,อาร์.ซี. โปร-แอม,R.C. Pro-Am
lld,R.C. Pro-Am,R.C. Pro-Am
en,Datastorm,Datastorm
nl,Datastorm,Datastorm
en,Punch-Out!! (NES),Punch-Out!! (NES)
es,Punch-Out!! (NES),Punch-Out!! (NES)
fr,Mike Tyson's Punch-Out!!,Punch-Out!! (NES)
it,Punch-Out!! (videogioco 1987),Punch-Out!! (NES)
zh,拳无虚发 (1987年游戏),Punch-Out!! (NES)
pt,Punch-Out!! (NES),Punch-Out!! (NES)
ja,マイクタイソン・パンチアウト!!,Punch-Out!! (NES)
fi,Mike Tyson’s Punch-Out!!,Punch-Out!! (NES)
nl,Mike Tyson's Punch-Out!!,Punch-Out!! (NES)
ko,펀치 아웃!! (1987년 비디오 게임),Punch-Out!! (NES)
arz,پونتش وت!,Punch-Out!! (NES)
wuu,拳无虚发（1987年游戏）,Punch-Out!! (NES)
en,Tristar and Red Sector Incorporated,Tristar and Red Sector Incorporated
de,TRSi,Tristar and Red Sector Incorporated
fi,Tristar & Red Sector Inc.,Tristar and Red Sector Incorporated
en,Spira (Final Fantasy),Spira (Final Fantasy)
ja,スピラ,Spira (Final Fantasy)
fr,Spira (Final Fantasy X),Spira (Final Fantasy)
es,Spira,Spira (Final Fantasy)
zh,史匹拉,Spira (Final Fantasy)
it,Spira (Final Fantasy),Spira (Final Fantasy)
pt,Spira,Spira (Final Fantasy)
id,Bahasa Al Bhed,Spira (Final Fantasy)
en,Nexuiz,Nexuiz
de,Nexuiz,Nexuiz
ru,Nexuiz Classic,Nexuiz
fr,Nexuiz,Nexuiz
es,Nexuiz,Nexuiz
it,Nexuiz,Nexuiz
ja,Nexuiz,Nexuiz
pl,Nexuiz,Nexuiz
zh,Nexuiz,Nexuiz
nl,Nexuiz,Nexuiz
eo,Nexuiz,Nexuiz
no,Nexuiz,Nexuiz
uk,Nexuiz,Nexuiz
fi,Nexuiz,Nexuiz
cs,Nexuiz,Nexuiz
el,Nexuiz,Nexuiz
sv,Nexuiz,Nexuiz
be,Nexuiz,Nexuiz
ko,넥쉬즈,Nexuiz
sr,Nexuiz,Nexuiz
da,Nexuiz,Nexuiz
en,2000 in video games,2000 in video games
ru,2000 год в компьютерных играх,2000 in video games
fr,2000 en jeu vidéo,2000 in video games
it,Videogiochi nel 2000,2000 in video games
pl,2000 w grach komputerowych,2000 in video games
zh,2000年電子遊戲界,2000 in video games
uk,2000 у відеоіграх,2000 in video games
fi,Videopelivuosi 2000,2000 in video games
ro,2000 în jocuri video,2000 in video games
sv,Datorspelsåret 2000,2000 in video games
hu,2000 videójátékai,2000 in video games
be,2000 год у гісторыі камп’ютарных гульняў,2000 in video games
no,Videospillåret 2000,2000 in video games
smn,Videospellâihe 2000,2000 in video games
en,Forced,Forced
ja,ジョー・ヒガシ,Joe Higashi
en,Joe Higashi,Joe Higashi
es,Joe Higashi (The King of Fighters),Joe Higashi
fr,Joe Higashi,Joe Higashi
th,โจ ฮิงาชิ,Joe Higashi
pt,Joe Higashi,Joe Higashi
it,Joe Higashi,Joe Higashi
en,Redneck Rampage,Redneck Rampage
ru,Redneck Rampage,Redneck Rampage
de,Redneck Rampage,Redneck Rampage
es,Redneck Rampage,Redneck Rampage
it,Redneck Rampage,Redneck Rampage
fr,Redneck Rampage,Redneck Rampage
fi,Redneck Rampage,Redneck Rampage
da,Redneck Rampage,Redneck Rampage
arz,ريدنيك رامپاج,Redneck Rampage
lld,Redneck Rampage,Redneck Rampage
en,Castlevania III: Dracula's Curse,Castlevania III: Dracula's Curse
ja,悪魔城伝説,Castlevania III: Dracula's Curse
es,Castlevania III: Dracula's Curse,Castlevania III: Dracula's Curse
ru,Castlevania III: Dracula’s Curse,Castlevania III: Dracula's Curse
it,Castlevania III: Dracula's Curse,Castlevania III: Dracula's Curse
pt,Castlevania III: Dracula's Curse,Castlevania III: Dracula's Curse
fr,Castlevania III: Dracula's Curse,Castlevania III: Dracula's Curse
zh,惡魔城傳說,Castlevania III: Dracula's Curse
fi,Castlevania III: Dracula’s Curse,Castlevania III: Dracula's Curse
sv,Castlevania III: Dracula's Curse,Castlevania III: Dracula's Curse
ko,캐슬바니아 III: 드라큘라의 저주,Castlevania III: Dracula's Curse
nl,Castlevania III: Dracula's Curse,Castlevania III: Dracula's Curse
th,คาสเซิลวาเนีย III แดรกคูลาส์เคิร์ส,Castlevania III: Dracula's Curse
arz,كاستليڤانيا اي: دراكولاس كورس,Castlevania III: Dracula's Curse
simple,Castlevania III: Dracula's Curse,Castlevania III: Dracula's Curse
wuu,恶魔城传说,Castlevania III: Dracula's Curse
lld,Castlevania III: Dracula's Curse,Castlevania III: Dracula's Curse
de,Amigo (Spieleverlag),Amigo Spiele
en,Amigo Spiele,Amigo Spiele
fr,Amigo Spiele,Amigo Spiele
it,Amigo Spiele,Amigo Spiele
en,Safe Cracker (pinball),Safe Cracker (pinball)
es,Safe Cracker (pinball),Safe Cracker (pinball)
en,Legend of Legaia,Legend of Legaia
ja,レガイア伝説,Legend of Legaia
es,Legend of Legaia,Legend of Legaia
pt,Legend of Legaia,Legend of Legaia
it,Legend of Legaia,Legend of Legaia
fr,Legend of Legaia,Legend of Legaia
zh,雷盖亚传说,Legend of Legaia
nl,Legend of Legaia,Legend of Legaia
lld,Legend of Legaia,Legend of Legaia
ro,Legend of Legaia,Legend of Legaia
en,Dino Stalker,Dino Stalker
es,Dino Stalker,Dino Stalker
ru,Dino Stalker,Dino Stalker
it,Dino Stalker,Dino Stalker
fr,Dino Stalker,Dino Stalker
pt,Dino Stalker,Dino Stalker
arz,دينو ستوكر,Dino Stalker
vi,Dino Stalker,Dino Stalker
lld,Dino Stalker,Dino Stalker
en,Gunbird 2,Gunbird 2
es,Gunbird 2,Gunbird 2
fr,Gunbird 2,Gunbird 2
ko,건버드 2,Gunbird 2
lld,Gunbird 2,Gunbird 2
sv,Gunbird 2,Gunbird 2
en,Particle Systems,Particle Systems
en,Summit (game),Summit (game)
en,Virtual Boy Wario Land,Virtual Boy Wario Land
ja,バーチャルボーイワリオランド アワゾンの秘宝,Virtual Boy Wario Land
fr,Virtual Boy Wario Land,Virtual Boy Wario Land
es,Virtual Boy Wario Land,Virtual Boy Wario Land
ru,Virtual Boy Wario Land,Virtual Boy Wario Land
it,Virtual Boy Wario Land,Virtual Boy Wario Land
pt,Virtual Boy Wario Land,Virtual Boy Wario Land
simple,Virtual Boy Wario Land,Virtual Boy Wario Land
arz,فيرتشوال بوى واريو لاند,Virtual Boy Wario Land
nl,Virtual Boy Wario Land,Virtual Boy Wario Land
lld,Virtual Boy Wario Land,Virtual Boy Wario Land
sv,Virtual Boy Wario Land,Virtual Boy Wario Land
en,GameFront,GameFront
es,FileFront,GameFront
fr,GameFront,GameFront
pt,GameFront,GameFront
tr,GameFront,GameFront
ms,GameFront,GameFront
fi,FileFront,GameFront
ka,GameFront,GameFront
no,GameFront,GameFront
en,Temple of Terror,Temple of Terror
pt,O Templo do Terror,Temple of Terror
en,Atari 2700,Atari 2700
es,Atari 2700,Atari 2700
sv,Atari 2700,Atari 2700
ko,아타리 2700,Atari 2700
ast,Atari 2700,Atari 2700
