lang,topic,topic_in_English
sh,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
lt,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
uz,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
als,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
ast,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
ka,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
ca,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
eu,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
arz,كال اوف دوتي: موديرن وارفار 2,Call of Duty: Modern Warfare 2
ckb,کۆڵ ئۆف دیووتی: مۆدێرن وارفێر ٢,Call of Duty: Modern Warfare 2
mk,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
nn,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
gl,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
lld,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2
en,Metal Gear Solid Touch,Metal Gear Solid Touch
it,Metal Gear Solid Touch,Metal Gear Solid Touch
ja,メタルギアソリッド タッチ,Metal Gear Solid Touch
fr,Metal Gear Solid Touch,Metal Gear Solid Touch
pl,Metal Gear Solid Touch,Metal Gear Solid Touch
pt,Metal Gear Solid Touch,Metal Gear Solid Touch
arz,ميتال جاير سوليد توتش,Metal Gear Solid Touch
lld,Metal Gear Solid Touch,Metal Gear Solid Touch
en,Cradle of Rome,Cradle of Rome
en,Lost in Blue: Shipwrecked,Lost in Blue: Shipwrecked
pl,Lost in Blue: Shipwrecked,Lost in Blue: Shipwrecked
arz,لوسانت اين بلوي: شيپوريكيد,Lost in Blue: Shipwrecked
lld,Lost in Blue: Shipwrecked,Lost in Blue: Shipwrecked
pt,Lost in Blue: Shipwrecked,Lost in Blue: Shipwrecked
en,Bits Studios,Bits Studios
ru,Bits Studios,Bits Studios
fr,Bits Studios,Bits Studios
tr,Bits Studios,Bits Studios
en,Age of Empires (video game),Age of Empires (video game)
es,Age of Empires,Age of Empires (video game)
it,Age of Empires,Age of Empires (video game)
ru,Age of Empires,Age of Empires (video game)
de,Age of Empires (Computerspiel),Age of Empires (video game)
vi,Age of Empires (trò chơi điện tử),Age of Empires (video game)
fr,Age of Empires (jeu vidéo),Age of Empires (video game)
ja,エイジ オブ エンパイア,Age of Empires (video game)
zh,世紀帝國 (遊戲),Age of Empires (video game)
pt,Age of Empires (jogo eletrônico),Age of Empires (video game)
pl,Age of Empires,Age of Empires (video game)
sv,Age of Empires,Age of Empires (video game)
tr,Age of Empires (video oyunu),Age of Empires (video game)
hu,Age of Empires,Age of Empires (video game)
nl,Age of Empires (computerspel),Age of Empires (video game)
ko,에이지 오브 엠파이어 (비디오 게임),Age of Empires (video game)
cs,Age of Empires (videohra),Age of Empires (video game)
uk,Age of Empires,Age of Empires (video game)
fi,Age of Empires,Age of Empires (video game)
th,เอจออฟเอ็มไพร์ส (วิดีโอเกม),Age of Empires (video game)
zh-yue,世紀帝國,Age of Empires (video game)
ro,Age of Empires (joc video),Age of Empires (video game)
sk,Age of Empires,Age of Empires (video game)
da,Age of Empires,Age of Empires (video game)
bg,Age of Empires,Age of Empires (video game)
simple,Age of Empires,Age of Empires (video game)
ms,Age of Empires (permainan video),Age of Empires (video game)
ca,Age of Empires (videojoc),Age of Empires (video game)
ast,Age of Empires,Age of Empires (video game)
gl,Age of Empires (videoxogo),Age of Empires (video game)
lld,Age of Empires,Age of Empires (video game)
lt,Age of Empires,Age of Empires (video game)
no,Age of Empires (videospill),Age of Empires (video game)
sq,Age of Empires,Age of Empires (video game)
zh-min-nan,Age of Empires (iû-hì),Age of Empires (video game)
arz,ايج اوف امبايرز,Age of Empires (video game)
bar,Age of Empires,Age of Empires (video game)
br,Age of Empires,Age of Empires (video game)
eu,Age of Empires,Age of Empires (video game)
la,Age of Empires,Age of Empires (video game)
lb,Age of Empires,Age of Empires (video game)
ml,ഏജ് ഓഫ് എം‌പയേഴ്സ് (വീഡിയോ ഗെയിം),Age of Empires (video game)
wuu,帝国时代（游戏）,Age of Empires (video game)
en,R.U.S.E.,R.U.S.E.
ru,R.U.S.E.,R.U.S.E.
ja,R.U.S.E.,R.U.S.E.
de,R.U.S.E.,R.U.S.E.
fr,R.U.S.E.,R.U.S.E.
it,R.U.S.E.,R.U.S.E.
vi,R.U.S.E.,R.U.S.E.
es,R.U.S.E.,R.U.S.E.
zh,兵者诡道,R.U.S.E.
pl,R.U.S.E.,R.U.S.E.
uk,R.U.S.E.,R.U.S.E.
pt,R.U.S.E.,R.U.S.E.
tr,R.U.S.E.,R.U.S.E.
id,R.U.S.E,R.U.S.E.
ko,R.U.S.E.,R.U.S.E.
sv,R.U.S.E.,R.U.S.E.
scn,Scartrizza,R.U.S.E.
no,R.U.S.E.,R.U.S.E.
arz,آر.يو.اس.اى.,R.U.S.E.
lld,R.U.S.E.,R.U.S.E.
en,Shadowfire (video game),Shadowfire (video game)
it,Shadowfire,Shadowfire (video game)
lld,Shadowfire,Shadowfire (video game)
en,Playing Gods,Playing Gods
en,Sub Battle Simulator,Sub Battle Simulator
fr,Sub Battle Simulator,Sub Battle Simulator
lld,Sub Battle Simulator,Sub Battle Simulator
en,Rift (video game),Rift (video game)
ru,RIFT,Rift (video game)
de,RIFT,Rift (video game)
fr,Rift: Planes of Telara,Rift (video game)
zh,时空裂痕,Rift (video game)
ko,리프트 온라인,Rift (video game)
pl,Rift,Rift (video game)
it,Rift (videogioco),Rift (video game)
nl,RIFT,Rift (video game)
fi,RIFT,Rift (video game)
uk,RIFT,Rift (video game)
tr,Rift (video oyunu),Rift (video game)
sv,Rift (datorspel),Rift (video game)
arz,ريفت,Rift (video game)
lld,Rift,Rift (video game)
en,Rugby League 3,Rugby League 3
lld,Rugby League 3,Rugby League 3
en,Championship Manager 2010,Championship Manager 2010
it,Championship Manager 2010,Championship Manager 2010
fr,L'Entraîneur 2010,Championship Manager 2010
tr,Championship Manager 2010,Championship Manager 2010
nl,Championship Manager 2010,Championship Manager 2010
ca,Championship Manager 2010,Championship Manager 2010
lld,Championship Manager 2010,Championship Manager 2010
en,World Cup Soccer: Italia '90,World Cup Soccer: Italia '90
it,World Cup Soccer: Italia '90,World Cup Soccer: Italia '90
fr,World Trophy Soccer,World Cup Soccer: Italia '90
en,Burning Rival,Burning Rival
ja,バーニングライバル,Burning Rival
ca,Burning Rival,Burning Rival
lld,Burning Rival,Burning Rival
ru,Encounter,Encounter (game)
en,Encounter (game),Encounter (game)
be-tarask,Encounter,Encounter (game)
en,Serious Gaming,Serious Gaming
nl,Serious Gaming,Serious Gaming
de,Serious Gaming (E-Sport-Clan),Serious Gaming
ja,Regret (アルバム),Regret (album)
es,Regret,Regret (album)
en,Regret (album),Regret (album)
vi,Regret (album),Regret (album)
en,J.League Jikkyō Winning Eleven 2001,J.League Jikkyō Winning Eleven 2001
arz,چاى.ليج چيكيو وينينج اليڤين 2001,J.League Jikkyō Winning Eleven 2001
en,We Dare,We Dare
nl,We Dare,We Dare
en,Aura: Fate of the Ages,Aura: Fate of the Ages
fr,Aura : La Légende des mondes parallèles,Aura: Fate of the Ages
it,Aura: Mondi paralleli,Aura: Fate of the Ages
ja,大熊謙一,Kenichi Ōkuma
en,Kenichi Ōkuma,Kenichi Ōkuma
ja,飛龍の拳,Hiryū no Ken
en,Hiryū no Ken,Hiryū no Ken
fr,Hiryū no Ken,Hiryū no Ken
en,ICade,ICade
uz,ICade,ICade
en,Manchester United Championship Soccer,Manchester United Championship Soccer
pt,Manchester United Championship Soccer,Manchester United Championship Soccer
lld,Manchester United Championship Soccer,Manchester United Championship Soccer
en,Infinity Blade II,Infinity Blade II
ru,Infinity Blade 2,Infinity Blade II
it,Infinity Blade II,Infinity Blade II
fr,Infinity Blade II,Infinity Blade II
tr,Infinity Blade II,Infinity Blade II
en,MLB Pennant Race,MLB Pennant Race
hu,MLB Pennant Race,MLB Pennant Race
en,Magnetic Soccer,Magnetic Soccer
sv,Magnetic Soccer,Magnetic Soccer
en,Hatsune Miku and Future Stars: Project Mirai,Hatsune Miku and Future Stars: Project Mirai
ja,初音ミク and Future Stars Project mirai,Hatsune Miku and Future Stars: Project Mirai
zh,初音未来与未来之星 未来计划,Hatsune Miku and Future Stars: Project Mirai
fr,Hatsune Miku and Future Stars: Project Mirai,Hatsune Miku and Future Stars: Project Mirai
it,Hatsune Miku and Future Stars: Project Mirai,Hatsune Miku and Future Stars: Project Mirai
ko,하츠네 미쿠 and Future Stars Project mirai,Hatsune Miku and Future Stars: Project Mirai
lld,Hatsune Miku and Future Stars: Project Mirai,Hatsune Miku and Future Stars: Project Mirai
en,God Eater 2,God Eater 2
zh,噬神者2,God Eater 2
es,God Eater 2,God Eater 2
it,God Eater 2,God Eater 2
fr,God Eater 2,God Eater 2
de,God Eater 2,God Eater 2
arz,جود اتير 2 راج بورست,God Eater 2
lld,GOD EATER 2 Rage Burst,God Eater 2
en,Ben Whitehead,Ben Whitehead
es,Ben Whitehead,Ben Whitehead
af,Ben Whitehead,Ben Whitehead
arz,بن وايتهيد,Ben Whitehead
en,Rotozoa,Rotozoa
lld,Rotozoa,Rotozoa
en,Turbo Sub,Turbo Sub
ja,花江夏樹,Natsuki Hanae
en,Natsuki Hanae,Natsuki Hanae
zh,花江夏樹,Natsuki Hanae
es,Natsuki Hanae,Natsuki Hanae
fr,Natsuki Hanae,Natsuki Hanae
ru,"Ханаэ, Нацуки",Natsuki Hanae
th,นัตสึกิ ฮานาเอะ,Natsuki Hanae
ko,하나에 나츠키,Natsuki Hanae
it,Natsuki Hanae,Natsuki Hanae
id,Natsuki Hanae,Natsuki Hanae
vi,Hanae Natsuki,Natsuki Hanae
pl,Natsuki Hanae,Natsuki Hanae
km,ណាត្ស៊ឹគិ ហាណាអិ,Natsuki Hanae
ms,Natsuki Hanae,Natsuki Hanae
my,နဆွတ်ကိ ဟနအဲ့,Natsuki Hanae
lo,ນັດຊຶກິ ຮານາເອະ,Natsuki Hanae
arz,ناتسوكى هاناى,Natsuki Hanae
tk,Natsuki Hanae,Natsuki Hanae
vo,Natsuki Hanae,Natsuki Hanae
zh-yue,花江夏樹,Natsuki Hanae
en,Stealth Bastard,Stealth Bastard
fr,Stealth Bastard,Stealth Bastard
arz,ستايلث باستارد ديلوكس,Stealth Bastard
en,Snapshot (video game),Snapshot (video game)
pt,Snapshot,Snapshot (video game)
en,Dragon's Prophet,Dragon's Prophet
ru,Dragon’s Prophet,Dragon's Prophet
zh,群龍默示錄,Dragon's Prophet
en,Mech Mice,Mech Mice
es,Mech Mice,Mech Mice
tr,Mech Mice,Mech Mice
en,Jeff R. Leason,Jeff R. Leason
en,Alcazar: The Forgotten Fortress,Alcazar: The Forgotten Fortress
it,Alcazar: The Forgotten Fortress,Alcazar: The Forgotten Fortress
en,Wreckfest,Wreckfest
ru,Wreckfest,Wreckfest
de,Wreckfest,Wreckfest
fi,Wreckfest,Wreckfest
fr,Wreckfest,Wreckfest
es,Wreckfest,Wreckfest
pl,Wreckfest,Wreckfest
pt,Wreckfest,Wreckfest
ro,Wreckfest,Wreckfest
arz,ريكفيست,Wreckfest
en,Tower of Guns,Tower of Guns
fr,Tower of Guns,Tower of Guns
arz,توير اوف جونس,Tower of Guns
en,Elephant Games,Elephant Games
uk,Elephant Games,Elephant Games
en,Seumas McNally Grand Prize,Seumas McNally Grand Prize
fr,Grand prix Seumas-McNally,Seumas McNally Grand Prize
zh,谢默斯·麦克纳利大奖,Seumas McNally Grand Prize
tr,Seumas McNally Büyük Ödülü,Seumas McNally Grand Prize
gl,Gran Premio Seumas McNally,Seumas McNally Grand Prize
sv,Seumas McNally Grand Prize,Seumas McNally Grand Prize
en,Deadtime Stories (video game),Deadtime Stories (video game)
en,Pac-Man and the Ghostly Adventures 2,Pac-Man and the Ghostly Adventures 2
fr,Pac-Man et les Aventures de fantômes 2,Pac-Man and the Ghostly Adventures 2
arz,پاك مان اند ث جوستلى ادڤينتوريس 2,Pac-Man and the Ghostly Adventures 2
en,Dreamatrix Game Studios,Dreamatrix Game Studios
en,Shut the Box (video game),Shut the Box (video game)
en,Kevin Wilson (game designer),Kevin Wilson (game designer)
en,The Westport Independent,The Westport Independent
lmo,The Westport Independent,The Westport Independent
en,PGA Tour 97,PGA Tour 97
en,Torn Banner Studios,Torn Banner Studios
en,Agathe Poschmann,Agathe Poschmann
de,Agathe Poschmann,Agathe Poschmann
vo,Agathe Poschmann,Agathe Poschmann
arz,اجاذا پوستشمان,Agathe Poschmann
en,Boon (game),Boon (game)
en,Intel Extreme Masters Season X – World Championship,Intel Extreme Masters Season X – World Championship
en,Analogue (company),Analogue (company)
fr,Analogue (entreprise),Analogue (company)
de,Analogue (Unternehmen),Analogue (company)
en,Kingdom Death: Monster,Kingdom Death: Monster
ru,Королевство Смерть: Монстр,Kingdom Death: Monster
en,Shibuya Productions,Shibuya Productions
fr,Shibuya Productions,Shibuya Productions
en,Shadow of the Tomb Raider,Shadow of the Tomb Raider
ru,Shadow of the Tomb Raider,Shadow of the Tomb Raider
de,Shadow of the Tomb Raider,Shadow of the Tomb Raider
es,Shadow of the Tomb Raider,Shadow of the Tomb Raider
fr,Shadow of the Tomb Raider,Shadow of the Tomb Raider
it,Shadow of the Tomb Raider,Shadow of the Tomb Raider
zh,古墓丽影：暗影,Shadow of the Tomb Raider
ja,シャドウ オブ ザ トゥームレイダー,Shadow of the Tomb Raider
pl,Shadow of the Tomb Raider,Shadow of the Tomb Raider
pt,Shadow of the Tomb Raider,Shadow of the Tomb Raider
uk,Shadow of the Tomb Raider,Shadow of the Tomb Raider
nl,Shadow of the Tomb Raider,Shadow of the Tomb Raider
tr,Shadow of the Tomb Raider,Shadow of the Tomb Raider
fi,Shadow of the Tomb Raider,Shadow of the Tomb Raider
vi,Shadow of the Tomb Raider,Shadow of the Tomb Raider
cs,Shadow of the Tomb Raider,Shadow of the Tomb Raider
ko,쉐도우 오브 더 툼 레이더,Shadow of the Tomb Raider
arz,شادو اوف تومب رايدر,Shadow of the Tomb Raider
sl,Shadow of the Tomb Raider,Shadow of the Tomb Raider
simple,Shadow of the Tomb Raider,Shadow of the Tomb Raider
az,Shadow of the Tomb Raider,Shadow of the Tomb Raider
lld,Shadow of the Tomb Raider,Shadow of the Tomb Raider
lt,Shadow of the Tomb Raider,Shadow of the Tomb Raider
en,Radial-G: Racing Revolved,Radial-G: Racing Revolved
en,Sonic Runners Adventure,Sonic Runners Adventure
ru,Sonic Runners Adventure,Sonic Runners Adventure
es,Sonic Runners Adventure,Sonic Runners Adventure
arz,سونيك رانرز ادفانتشر,Sonic Runners Adventure
sv,Sonic Runners Adventure,Sonic Runners Adventure
en,Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition
zh,世紀帝國II：決定版,Age of Empires II: Definitive Edition
es,Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition
ru,Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition
fr,Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition
it,Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition
de,Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition
cs,Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition
ja,Age of Empires II Definitive Edition,Age of Empires II: Definitive Edition
vi,Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition
sv,Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition
ko,에이지 오브 엠파이어 2: 디피니티브 에디션,Age of Empires II: Definitive Edition
id,Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition
th,เอจออฟเอ็มไพร์ส II: เดฟินิทีฟเอดิชัน,Age of Empires II: Definitive Edition
uz,Age of Empires II: Definitive Edition,Age of Empires II: Definitive Edition
en,Tennis World Tour,Tennis World Tour
es,Tennis World Tour,Tennis World Tour
fr,Tennis World Tour,Tennis World Tour
ja,テニス ワールドツアー,Tennis World Tour
sv,Tennis World Tour,Tennis World Tour
en,Panic in the Park,Panic in the Park
en,Out There Somewhere,Out There Somewhere
pt,Out There Somewhere,Out There Somewhere
en,Anor Londo,Anor Londo
ru,Анор Лондо,Anor Londo
en,Brad Talton,Brad Talton
en,Ring of Elysium,Ring of Elysium
zh,无限法则,Ring of Elysium
de,Ring of Elysium,Ring of Elysium
es,Ring of Elysium,Ring of Elysium
fr,Ring of Elysium,Ring of Elysium
hu,Ring of Elysium,Ring of Elysium
fi,Ring of Elysium,Ring of Elysium
arz,حلقه الجنه,Ring of Elysium
en,Etrian Odyssey Nexus,Etrian Odyssey Nexus
ja,世界樹の迷宮X,Etrian Odyssey Nexus
ko,세계수의 미궁 X,Etrian Odyssey Nexus
arz,اتريان اوديسى نيكسوس,Etrian Odyssey Nexus
lld,Etrian Odyssey Nexus,Etrian Odyssey Nexus
en,Princess Connect! Re:Dive,Princess Connect! Re:Dive
ja,プリンセスコネクト!Re:Dive,Princess Connect! Re:Dive
zh,超異域公主連結☆Re:Dive,Princess Connect! Re:Dive
es,Princess Connect! Re:Dive,Princess Connect! Re:Dive
ru,Princess Connect! Re:Dive,Princess Connect! Re:Dive
it,Princess Connect! Re:Dive,Princess Connect! Re:Dive
th,ปรินเซส คอนเนค! รี: ไดฟ์,Princess Connect! Re:Dive
de,Princess Connect! Re:Dive (Computerspiel),Princess Connect! Re:Dive
ko,프린세스 커넥트! Re:Dive,Princess Connect! Re:Dive
cs,Princess Connect! Re:Dive,Princess Connect! Re:Dive
en,The Infectious Madness of Doctor Dekker,The Infectious Madness of Doctor Dekker
fr,The Infectious Madness of Doctor Dekker,The Infectious Madness of Doctor Dekker
lld,The Infectious Madness of Doctor Dekker,The Infectious Madness of Doctor Dekker
en,Adam Phillips (animator),Adam Phillips (animator)
zh,Talon Esports,Talon Esports
en,Talon Esports,Talon Esports
en,List of Pokémon,List of Pokémon
fr,Liste des Pokémon,List of Pokémon
ja,全国ポケモン図鑑順のポケモン一覧,List of Pokémon
de,Liste der Pokémon,List of Pokémon
pt,Lista de Pokémon,List of Pokémon
ru,Список покемонов,List of Pokémon
zh,宝可梦列表,List of Pokémon
ko,포켓몬 목록,List of Pokémon
pl,Lista Pokémonów,List of Pokémon
es,Anexo:Pokémon,List of Pokémon
th,รายชื่อโปเกมอน,List of Pokémon
nl,Lijst van Pokémon,List of Pokémon
cs,Seznam pokémonů,List of Pokémon
vi,Danh sách Pokémon,List of Pokémon
hu,Pokémonok listája,List of Pokémon
ro,Listă de Pokémoni,List of Pokémon
it,Lista di Pokémon,List of Pokémon
tr,Pokémon türleri listesi,List of Pokémon
fi,Luettelo Pokémoneista,List of Pokémon
no,Liste over pokémoner,List of Pokémon
id,Daftar Pokémon,List of Pokémon
sk,Zoznam pokémonov,List of Pokémon
sv,Lista över Pokémon,List of Pokémon
ms,Senarai Pokémon,List of Pokémon
zh-yue,寵物小精靈一覽,List of Pokémon
simple,List of Pokémon,List of Pokémon
sl,Seznam Pokemonov,List of Pokémon
ca,Llista de Pokémon,List of Pokémon
lv,Pokemonu uzskaitījums,List of Pokémon
hr,Dodatak:Popis Pokémona,List of Pokémon
eo,Listo de Pokemonoj,List of Pokémon
sco,Leet o Pokémon,List of Pokémon
ast,Llista de Pokémon,List of Pokémon
bs,Spisak Pokémona,List of Pokémon
diq,Lista pokemonan,List of Pokémon
uz,Pokemonlar ro'yxati,List of Pokémon
tl,Talaan ng mga Pokémon,List of Pokémon
gl,Lista de pokémons,List of Pokémon
pa,ਪੋਕੀਮੌਨਾਂ ਦੀ ਸੂਚੀ,List of Pokémon
zh-min-nan,Pokémon lia̍t-toaⁿ,List of Pokémon
en,Rainbow Islands: The Story of Bubble Bobble 2,Rainbow Islands: The Story of Bubble Bobble 2
ja,レインボーアイランド,Rainbow Islands: The Story of Bubble Bobble 2
it,Rainbow Islands,Rainbow Islands: The Story of Bubble Bobble 2
es,Rainbow Islands: The Story of Bubble Bobble 2,Rainbow Islands: The Story of Bubble Bobble 2
ru,Rainbow Islands: The Story of Bubble Bobble 2,Rainbow Islands: The Story of Bubble Bobble 2
de,Rainbow Islands,Rainbow Islands: The Story of Bubble Bobble 2
fr,Rainbow Islands: The Story of Bubble Bobble 2,Rainbow Islands: The Story of Bubble Bobble 2
fi,Rainbow Islands,Rainbow Islands: The Story of Bubble Bobble 2
ko,레인보우 아일랜드 (비디오 게임),Rainbow Islands: The Story of Bubble Bobble 2
sv,Rainbow Islands: The Story of Bubble Bobble 2,Rainbow Islands: The Story of Bubble Bobble 2
nl,Rainbow Islands: The Story of Bubble Bobble 2,Rainbow Islands: The Story of Bubble Bobble 2
lld,Rainbow Islands: The Story of Bubble Bobble 2,Rainbow Islands: The Story of Bubble Bobble 2
zh-yue,彩虹列島,Rainbow Islands: The Story of Bubble Bobble 2
en,Killer Instinct (1994 video game),Killer Instinct (1994 video game)
es,Killer Instinct (videojuego de 1994),Killer Instinct (1994 video game)
pt,Killer Instinct,Killer Instinct (1994 video game)
fr,"Killer Instinct (jeu vidéo, 1994)",Killer Instinct (1994 video game)
it,Killer Instinct (videogioco),Killer Instinct (1994 video game)
ru,"Killer Instinct (игра, 1994)",Killer Instinct (1994 video game)
zh,殺手本能,Killer Instinct (1994 video game)
nl,Killer Instinct (computerspel uit 1994),Killer Instinct (1994 video game)
ko,킬러 인스팅트 (1994년 비디오 게임),Killer Instinct (1994 video game)
sv,Killer Instinct,Killer Instinct (1994 video game)
simple,Killer Instinct,Killer Instinct (1994 video game)
hu,"Killer Instinct (videójáték, 1994)",Killer Instinct (1994 video game)
lld,Killer Instinct,Killer Instinct (1994 video game)
wuu,杀手本能,Killer Instinct (1994 video game)
en,Game Developer (magazine),Game Developer (magazine)
de,Game Developer (Zeitschrift),Game Developer (magazine)
es,Game Developer,Game Developer (magazine)
fr,Game Developer (magazine),Game Developer (magazine)
it,Game Developer (rivista),Game Developer (magazine)
hu,Game Developer (magazin),Game Developer (magazine)
no,Game Developer (tidsskrift),Game Developer (magazine)
en,Starflight 2: Trade Routes of the Cloud Nebula,Starflight 2: Trade Routes of the Cloud Nebula
fr,Starflight 2: Trade Routes of the Cloud Nebula,Starflight 2: Trade Routes of the Cloud Nebula
en,Sonic 3D Blast,Sonic 3D Blast
ru,Sonic 3D,Sonic 3D Blast
es,Sonic 3D Blast,Sonic 3D Blast
pt,Sonic 3D Blast,Sonic 3D Blast
it,Sonic 3D: Flickies' Island,Sonic 3D Blast
fr,Sonic 3D: Flickies' Island,Sonic 3D Blast
ja,ソニック3Dブラスト,Sonic 3D Blast
de,Sonic 3D: Flickies’ Island,Sonic 3D Blast
id,Sonic 3D Blast,Sonic 3D Blast
tr,Sonic 3D: Flickies’ Island,Sonic 3D Blast
ko,소닉 3D 블래스트,Sonic 3D Blast
fi,Sonic 3D: Flickies’ Island,Sonic 3D Blast
uk,Sonic 3D,Sonic 3D Blast
nl,Sonic 3D,Sonic 3D Blast
sv,Sonic 3D Blast,Sonic 3D Blast
sl,Sonic 3D: Flickies' Island,Sonic 3D Blast
arz,سونيك 3د,Sonic 3D Blast
az,"Sonic 3D (video oyun, 1996)",Sonic 3D Blast
lld,Sonic 3D,Sonic 3D Blast
zh-yue,超音鼠 3D Blast,Sonic 3D Blast
en,Sabreman,Sabreman
cs,Sabreman,Sabreman
ja,音楽ゲーム,Music video game
en,Music video game,Music video game
zh,音樂遊戲,Music video game
es,Videojuego de música,Music video game
pt,Jogo eletrônico musical,Music video game
it,Videogioco musicale,Music video game
pl,Komputerowa gra muzyczna,Music video game
de,Musikspiel,Music video game
sv,Musikspel,Music video game
tr,Müzik video oyunu,Music video game
fr,Jeu vidéo musical,Music video game
nl,Muziekspel,Music video game
ko,음악 비디오 게임,Music video game
fi,Musiikkipeli,Music video game
ca,Videojoc musical,Music video game
simple,Music video game,Music video game
cs,Hudební videohra,Music video game
no,Musikkspill,Music video game
th,เกมเต้น,Music video game
arz,فيديو لعب مزيكا,Music video game
wuu,音乐游戏,Music video game
en,Battlecruiser 3000AD,Battlecruiser 3000AD
fr,Battlecruiser 3000AD,Battlecruiser 3000AD
zh,战斗巡洋舰 公元3000,Battlecruiser 3000AD
lld,Battlecruiser 3000AD,Battlecruiser 3000AD
en,Game Informer,Game Informer
zh,Game Informer,Game Informer
ru,Game Informer,Game Informer
es,Game Informer,Game Informer
it,Game Informer,Game Informer
fr,Game Informer,Game Informer
de,Game Informer,Game Informer
ja,ゲーム・インフォーマー,Game Informer
pt,Game Informer,Game Informer
vi,Game Informer,Game Informer
hu,Game Informer,Game Informer
pl,Game Informer,Game Informer
uk,Game Informer,Game Informer
ms,Game Informer,Game Informer
az,Game Informer,Game Informer
id,Game Informer,Game Informer
nn,Game Informer,Game Informer
ro,Game Informer,Game Informer
ko,게임 인포머,Game Informer
da,Game Informer,Game Informer
nl,Game Informer,Game Informer
sv,Game Informer,Game Informer
ka,Game Informer,Game Informer
tr,Game Informer,Game Informer
fi,Game Informer,Game Informer
