lang,topic,topic_in_English
fr,ELeague Major: Boston 2018,ELEAGUE Major: Boston 2018
cs,ELEAGUE Major 2018,ELEAGUE Major: Boston 2018
en,Police Stories,Police Stories
es,Police Stories,Police Stories
en,Road Rage (video game),Road Rage (video game)
de,Road Rage (Computerspiel),Road Rage (video game)
en,Ravenfield (video game),Ravenfield (video game)
ru,Ravenfield,Ravenfield (video game)
uk,Ravenfield,Ravenfield (video game)
es,Ravenfield (videojuego),Ravenfield (video game)
tr,Ravenfield (video oyunu),Ravenfield (video game)
fr,Ravenfield (jeu vidéo),Ravenfield (video game)
nl,Ravenfield (computerspel),Ravenfield (video game)
lld,Ravenfield,Ravenfield (video game)
en,Atari 2600 Action Pack,Atari 2600 Action Pack
en,Butterfly Soup,Butterfly Soup
ja,Butterfly Soup,Butterfly Soup
no,Butterfly Soup,Butterfly Soup
eo,Butterfly Soup,Butterfly Soup
en,Jennifer Hale filmography,Jennifer Hale filmography
pam,Filmografía nang Jennifer Hale,Jennifer Hale filmography
tl,Pilmograpiya ni Jennifer Hale,Jennifer Hale filmography
war,Pilmograpiya ni Jennifer Hale,Jennifer Hale filmography
bcl,Pilmograpiya ni Jennifer Hale,Jennifer Hale filmography
ceb,Pilmograpiya ni Jennifer Hale,Jennifer Hale filmography
en,Minecraft Earth,Minecraft Earth
ru,Minecraft Earth,Minecraft Earth
uk,Minecraft Earth,Minecraft Earth
es,Minecraft Earth,Minecraft Earth
id,Minecraft Earth,Minecraft Earth
de,Minecraft Earth,Minecraft Earth
fr,Minecraft Earth,Minecraft Earth
it,Minecraft Earth,Minecraft Earth
zh,我的世界 地球,Minecraft Earth
fi,Minecraft Earth,Minecraft Earth
pl,Minecraft Earth,Minecraft Earth
pt,Minecraft Earth,Minecraft Earth
nl,Minecraft Earth,Minecraft Earth
ca,Minecraft Earth,Minecraft Earth
tr,Minecraft Earth,Minecraft Earth
ko,마인크래프트 어스,Minecraft Earth
ro,Minecraft Earth,Minecraft Earth
simple,Minecraft Earth,Minecraft Earth
vi,Minecraft Earth,Minecraft Earth
ms,Minecraft Earth,Minecraft Earth
no,Minecraft Earth,Minecraft Earth
el,Minecraft Earth,Minecraft Earth
lld,Minecraft Earth,Minecraft Earth
arz,ماينكرافت ايرث,Minecraft Earth
en,Konix Multisystem,Konix Multisystem
fr,Konix Multisystem,Konix Multisystem
it,Konix Multisystem,Konix Multisystem
es,Konix Multisystem,Konix Multisystem
qu,Konix Multisystem,Konix Multisystem
en,RuneQuest,RuneQuest
ja,ルーンクエスト,RuneQuest
es,RuneQuest,RuneQuest
fr,RuneQuest,RuneQuest
de,RuneQuest,RuneQuest
fi,RuneQuest,RuneQuest
it,RuneQuest,RuneQuest
sv,RuneQuest,RuneQuest
pt,RuneQuest,RuneQuest
zh,符石之謎,RuneQuest
da,RuneQuest,RuneQuest
ca,RuneQuest,RuneQuest
zh-yue,符石之謎,RuneQuest
en,ZX Spectrum,ZX Spectrum
ru,ZX Spectrum,ZX Spectrum
es,Sinclair ZX Spectrum,ZX Spectrum
pl,ZX Spectrum,ZX Spectrum
it,ZX Spectrum,ZX Spectrum
pt,ZX Spectrum,ZX Spectrum
de,Sinclair ZX Spectrum,ZX Spectrum
fr,ZX Spectrum,ZX Spectrum
ja,ZX Spectrum,ZX Spectrum
cs,Sinclair ZX Spectrum,ZX Spectrum
nl,ZX Spectrum,ZX Spectrum
simple,ZX Spectrum,ZX Spectrum
uk,ZX Spectrum,ZX Spectrum
sv,ZX Spectrum,ZX Spectrum
hu,Sinclair ZX Spectrum,ZX Spectrum
tr,ZX Spectrum,ZX Spectrum
fi,ZX Spectrum,ZX Spectrum
sr,ZX Spectrum,ZX Spectrum
sk,ZX Spectrum,ZX Spectrum
ca,ZX Spectrum,ZX Spectrum
el,ZX Spectrum,ZX Spectrum
hr,ZX Spectrum,ZX Spectrum
ro,ZX Spectrum,ZX Spectrum
zh,Sinclair ZX Spectrum,ZX Spectrum
da,ZX Spectrum,ZX Spectrum
id,ZX Spectrum,ZX Spectrum
sl,ZX Spectrum,ZX Spectrum
lt,Sinclair ZX Spectrum,ZX Spectrum
vi,ZX Spectrum,ZX Spectrum
no,ZX Spectrum,ZX Spectrum
sh,ZX Spectrum,ZX Spectrum
ko,ZX 스펙트럼,ZX Spectrum
arz,زى اكس سپكتروم,ZX Spectrum
an,ZX Spectrum,ZX Spectrum
als,Sinclair ZX Spectrum,ZX Spectrum
cu,Спєктроумъ,ZX Spectrum
lmo,Sinclair ZX Spectrum,ZX Spectrum
et,ZX Spectrum,ZX Spectrum
lv,ZX Spectrum,ZX Spectrum
uz,ZX Spectrum,ZX Spectrum
be-tarask,ZX Spectrum,ZX Spectrum
eo,Sinclair ZX Spectrum,ZX Spectrum
eu,ZX Spectrum,ZX Spectrum
be,ZX Spectrum,ZX Spectrum
bs,ZX Spectrum,ZX Spectrum
gl,ZX Spectrum,ZX Spectrum
nn,Sinclair ZX Spectrum,ZX Spectrum
mk,Зет-Икс Спектрум,ZX Spectrum
en,Amusement arcade,Amusement arcade
ja,ゲームセンター,Amusement arcade
de,Spielhalle,Amusement arcade
pt,Fliperama,Amusement arcade
zh,電子遊樂場,Amusement arcade
it,Sala giochi,Amusement arcade
fr,Salle d'arcade,Amusement arcade
ru,Зал игровых автоматов,Amusement arcade
es,Salón recreativo,Amusement arcade
nl,Arcadehal,Amusement arcade
zh-yue,機舖,Amusement arcade
ko,전자 오락실,Amusement arcade
cs,Herna,Amusement arcade
tr,Atari salonu,Amusement arcade
wuu,电子游戏厅,Amusement arcade
sv,Spelhall,Amusement arcade
simple,Amusement arcade,Amusement arcade
eo,Videoludejo,Amusement arcade
ms,Arked permainan video,Amusement arcade
az,Oyun salonu,Amusement arcade
ca,Saló recreatiu,Amusement arcade
is,Spilasalur,Amusement arcade
ckb,ئارکەیدی سەرگەرمی,Amusement arcade
bar,Spuihoin,Amusement arcade
no,Spillehall,Amusement arcade
se,Speallanhálla,Amusement arcade
zh-min-nan,Tiān-tōng-keng,Amusement arcade
en,E.T. the Extra-Terrestrial (video game),E.T. the Extra-Terrestrial (video game)
es,E.T. the Extra-Terrestrial (videojuego),E.T. the Extra-Terrestrial (video game)
ru,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial (video game)
de,E.T. the Extra-Terrestrial (Computerspiel),E.T. the Extra-Terrestrial (video game)
ja,E.T. (アタリ2600),E.T. the Extra-Terrestrial (video game)
it,E.T. (videogioco),E.T. the Extra-Terrestrial (video game)
fr,E.T. the Extra-Terrestrial (jeu vidéo),E.T. the Extra-Terrestrial (video game)
zh,E.T.外星人 (游戏),E.T. the Extra-Terrestrial (video game)
pt,E.T. the Extra-Terrestrial (jogo eletrônico),E.T. the Extra-Terrestrial (video game)
pl,E.T. the Extra-Terrestrial (gra komputerowa),E.T. the Extra-Terrestrial (video game)
tr,E.T. the Extra-Terrestrial (oyun),E.T. the Extra-Terrestrial (video game)
uk,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial (video game)
fi,E. T. the Extra-Terrestrial (Atari 2600),E.T. the Extra-Terrestrial (video game)
sv,E.T. the Extra-Terrestrial (datorspel),E.T. the Extra-Terrestrial (video game)
nl,E.T. the Extra-Terrestrial (computerspel),E.T. the Extra-Terrestrial (video game)
ko,E.T. 디 엑스트라 터레스트리얼 (비디오 게임),E.T. the Extra-Terrestrial (video game)
th,อี.ที. ดิเอกซ์ตราเทอร์เรสเทรียล (วิดีโอเกม),E.T. the Extra-Terrestrial (video game)
simple,E.T. the Extra Terrestrial (video game),E.T. the Extra-Terrestrial (video game)
arz,اى تى ذا اكسترا ترستريال,E.T. the Extra-Terrestrial (video game)
lld,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial (video game)
no,E.T. the Extra-Terrestrial (videospill),E.T. the Extra-Terrestrial (video game)
gl,E.T. the Extra-Terrestrial (videoxogo),E.T. the Extra-Terrestrial (video game)
wuu,E.T.外星人（游戏）,E.T. the Extra-Terrestrial (video game)
eo,E.T. (ludo),E.T. the Extra-Terrestrial (video game)
en,Kazakhs,Kazakhs
ru,Казахи,Kazakhs
kk,Қазақтар,Kazakhs
fr,Kazakhs,Kazakhs
zh,哈薩克族,Kazakhs
tr,Kazaklar,Kazakhs
de,Kasachen,Kazakhs
ja,カザフ人,Kazakhs
es,Kazajos,Kazakhs
pl,Kazachowie,Kazakhs
it,Kazaki,Kazakhs
mn,Казахууд,Kazakhs
uz,Qozoqlar,Kazakhs
uk,Казахи,Kazakhs
pt,Cazaques,Kazakhs
vi,Người Kazakh,Kazakhs
hu,Kazakok,Kazakhs
ko,카자흐인,Kazakhs
cs,Kazaši,Kazakhs
fi,Kazakit,Kazakhs
id,Orang Kazakh,Kazakhs
th,ชาวคาซัค,Kazakhs
nl,Kazachen,Kazakhs
az,Qazaxlar,Kazakhs
sv,Kazaker,Kazakhs
sr,Казаси,Kazakhs
ro,Kazahi,Kazakhs
ky,Казактар,Kazakhs
ka,ყაზახები,Kazakhs
el,Καζάχοι,Kazakhs
hr,Kazasi,Kazakhs
bg,Казахи,Kazakhs
hy,Ղազախներ,Kazakhs
bn,কাজাখ জাতি,Kazakhs
lt,Kazachai,Kazakhs
sl,Kazahi,Kazakhs
et,Kasahhid,Kazakhs
lv,Kazahi,Kazakhs
hi,कज़ाख़ लोग,Kazakhs
simple,Kazakhs,Kazakhs
sk,Kazachovia,Kazakhs
ms,Orang Kazakh,Kazakhs
azb,قازاخ‌لار,Kazakhs
no,Kasaker,Kazakhs
mk,Казаци,Kazakhs
da,Kasakhere,Kazakhs
bs,Kazasi,Kazakhs
sh,Kazasi,Kazakhs
tt,Казакълар,Kazakhs
kaa,Qazaqlar,Kazakhs
ca,Kazakhs,Kazakhs
sah,Казахтар,Kazakhs
bxr,Хасагууд,Kazakhs
ml,കസാഖ്,Kazakhs
ug,قازاق مىللىتى,Kazakhs
ba,Ҡаҙаҡтар,Kazakhs
jv,Wong Kazakh,Kazakhs
arz,كازاخ,Kazakhs
ckb,کازاخەکان,Kazakhs
lbe,Казах халкь,Kazakhs
zh-yue,哈薩克人,Kazakhs
be,Казахі,Kazakhs
ku,Qazax,Kazakhs
an,Cazacos,Kazakhs
ce,Кхазакхаш,Kazakhs
eo,Kazaĥoj,Kazakhs
tk,Gazaklar,Kazakhs
af,Kasakke,Kazakhs
sco,Kazakhs,Kazakhs
co,Quazak,Kazakhs
mhr,Казах,Kazakhs
os,Хъазахаг адæм,Kazakhs
sw,Wakazakhi,Kazakhs
zh-min-nan,Kazakh-cho̍k,Kazakhs
cdo,Kazakh-cŭk,Kazakhs
cv,Казахсем,Kazakhs
krc,Къазакълыла,Kazakhs
min,Urang Kazakh,Kazakhs
eu,Kazakh,Kazakhs
pnb,قازق لوک,Kazakhs
tg,Қазоқҳо,Kazakhs
udm,Казахъёс,Kazakhs
be-tarask,Казахі,Kazakhs
fy,Kazakken,Kazakhs
gl,Pobo casaco,Kazakhs
ta,கசக்குகள்,Kazakhs
vep,Kazahlaižed,Kazakhs
xmf,ყაზახეფი,Kazakhs
mg,Kazàka (vahoaka),Kazakhs
pa,ਕਜ਼ਾਖ਼ ਲੋਕ,Kazakhs
ga,Casacstánaigh,Kazakhs
hak,Kazakh-chhu̍k,Kazakhs
yo,Àwọn Kàsàk,Kazakhs
wuu,哈萨克族,Kazakhs
en,Corridor 7: Alien Invasion,Corridor 7: Alien Invasion
ru,Corridor 7,Corridor 7: Alien Invasion
it,Corridor 7: Alien Invasion,Corridor 7: Alien Invasion
sk,Corridor 7,Corridor 7: Alien Invasion
cs,Corridor 7: Alien Invasion,Corridor 7: Alien Invasion
id,Corridor 7: Alien Invasion,Corridor 7: Alien Invasion
lld,Corridor 7: Alien Invasion,Corridor 7: Alien Invasion
en,Zendo (game),Zendo (game)
en,Michiru Yamane,Michiru Yamane
ja,山根ミチル,Michiru Yamane
es,Michiru Yamane,Michiru Yamane
fr,Michiru Yamane,Michiru Yamane
zh,山根实知琉,Michiru Yamane
pt,Michiru Yamane,Michiru Yamane
ru,"Яманэ, Митиру",Michiru Yamane
it,Michiru Yamane,Michiru Yamane
ko,야마네 미치루,Michiru Yamane
ca,Michiru Yamane,Michiru Yamane
nl,Michiru Yamane,Michiru Yamane
ms,Michiru Yamane,Michiru Yamane
sq,Michiru Yamane,Michiru Yamane
arz,ميشيرو يامانى,Michiru Yamane
en,Rush (video games),Rush (video games)
ru,Раш (компьютерные игры),Rush (video games)
da,Rush (spilstrategi),Rush (video games)
de,Rush (Computerspiel),Rush (video games)
fr,Rush (stratégie de jeu vidéo),Rush (video games)
zh,快攻,Rush (video games)
zh-yue,快攻,Rush (video games)
en,TwinBee (series),TwinBee (series)
es,TwinBee,TwinBee (series)
zh,兵蜂系列,TwinBee (series)
ru,TwinBee (серия игр),TwinBee (series)
fr,TwinBee,TwinBee (series)
it,TwinBee,TwinBee (series)
ko,트윈비,TwinBee (series)
wuu,兵蜂系列,TwinBee (series)
sv,Twinbeeserien,TwinBee (series)
en,Source port,Source port
de,Source Port,Source port
pt,Source port,Source port
en,Zero game,Zero game
fr,Jeu nul,Zero game
es,Juego cero,Zero game
la,Ludus zerum,Zero game
en,PunkBuster,PunkBuster
ru,PunkBuster,PunkBuster
de,PunkBuster,PunkBuster
es,PunkBuster,PunkBuster
fr,PunkBuster,PunkBuster
pt,Punkbuster,PunkBuster
ja,PunkBuster,PunkBuster
pl,PunkBuster,PunkBuster
zh,PunkBuster,PunkBuster
uk,PunkBuster,PunkBuster
it,PunkBuster,PunkBuster
nl,PunkBuster,PunkBuster
cs,PunkBuster,PunkBuster
ko,펑크버스터,PunkBuster
fi,PunkBuster,PunkBuster
sv,Punkbuster,PunkBuster
hu,PunkBuster,PunkBuster
en,Herzog Zwei,Herzog Zwei
ru,Herzog Zwei,Herzog Zwei
ja,ヘルツォーク・ツヴァイ,Herzog Zwei
de,Herzog Zwei,Herzog Zwei
fr,Herzog Zwei,Herzog Zwei
it,Herzog Zwei,Herzog Zwei
uk,Herzog Zwei,Herzog Zwei
sv,Herzog Zwei,Herzog Zwei
lld,Herzog Zwei,Herzog Zwei
en,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
es,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
ru,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
it,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
zh,世紀帝國：羅馬霸主,Age of Empires: The Rise of Rome
fr,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
de,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
tr,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
vi,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
pl,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
ja,エイジ オブ エンパイア: ライズ オブ ローマ,Age of Empires: The Rise of Rome
pt,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
nl,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
fi,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
hu,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
ko,에이지 오브 엠파이어: 로마의 부흥,Age of Empires: The Rise of Rome
sk,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
da,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
no,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
ro,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
ca,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
et,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
wuu,帝国时代：罗马复兴,Age of Empires: The Rise of Rome
zh-min-nan,Age of Empires: The Rise of Rome,Age of Empires: The Rise of Rome
en,Capstone Software,Capstone Software
ru,Capstone Software,Capstone Software
it,Capstone Software,Capstone Software
pt,Capstone Software,Capstone Software
id,Capstone Software,Capstone Software
en,Warmachine,Warmachine
de,Warmachine,Warmachine
fr,Warmachine,Warmachine
it,Warmachine,Warmachine
es,Warmachine,Warmachine
no,Warmachine,Warmachine
fi,Warmachine,Warmachine
sv,Warmachine,Warmachine
en,Supaplex,Supaplex
ru,Supaplex,Supaplex
es,Supaplex,Supaplex
nl,Supaplex,Supaplex
de,Supaplex,Supaplex
fi,Supaplex,Supaplex
cs,Supaplex,Supaplex
it,Supaplex,Supaplex
hu,Supaplex,Supaplex
ro,Supaplex,Supaplex
tr,Supaplex,Supaplex
fr,Supaplex,Supaplex
ko,슈파플렉스,Supaplex
pl,Supaplex,Supaplex
lv,Supaplex,Supaplex
el,Supaplex,Supaplex
sv,Supaplex,Supaplex
en,Nintendo Space World,Nintendo Space World
ja,任天堂スペースワールド,Nintendo Space World
es,Nintendo Space World,Nintendo Space World
fr,Nintendo Space World,Nintendo Space World
pt,Nintendo Space World,Nintendo Space World
de,Nintendo Space World,Nintendo Space World
ko,닌텐도 스페이스 월드,Nintendo Space World
fi,Nintendo Space World,Nintendo Space World
no,Nintendo Space World,Nintendo Space World
en,Tsunade,Tsunade
fr,Tsunade,Tsunade
pt,Tsunade,Tsunade
ms,Tsunade,Tsunade
pl,Tsunade,Tsunade
sq,Tsunade (folklor),Tsunade
el,Tsunade,Tsunade
en,Smilebit,Smilebit
ja,スマイルビット,Smilebit
pt,Smilebit,Smilebit
uk,Smilebit,Smilebit
en,Parodius,Parodius
ja,パロディウス,Parodius
es,Parodius (serie),Parodius
fr,Parodius,Parodius
ru,Parodius (серия игр),Parodius
pt,Parodius,Parodius
it,Parodius (serie),Parodius
ko,파로디우스,Parodius
fi,Parodius,Parodius
sv,Parodiusserien,Parodius
en,1990 in games,1990 in games
vi,Trò chơi năm 1990,1990 in games
fr,1990 en jeu,1990 in games
en,1999 in games,1999 in games
fr,1999 en jeu,1999 in games
vi,Trò chơi năm 1999,1999 in games
en,Sekiryo Kaneda,Sekiryo Kaneda
ja,山内積良,Sekiryo Kaneda
es,Sekiryo Kaneda,Sekiryo Kaneda
fr,Sekiryo Kaneda,Sekiryo Kaneda
zh,山內積良,Sekiryo Kaneda
it,Sekiryo Yamauchi,Sekiryo Kaneda
pt,Sekiryo Kaneda,Sekiryo Kaneda
vi,Kaneda Sekiryō,Sekiryo Kaneda
nl,Sekiryo Kaneda,Sekiryo Kaneda
de,Yamauchi Sekiryō,Sekiryo Kaneda
ko,야마우치 세키료,Sekiryo Kaneda
fi,Sekiryō Yamauchi,Sekiryo Kaneda
sv,Sekiryo Yamauchi,Sekiryo Kaneda
arz,سيكيريو كانيدا,Sekiryo Kaneda
ckb,سێکیریۆ کانێدا,Sekiryo Kaneda
id,Sekiryo Kaneda,Sekiryo Kaneda
en,Reality Lab,Reality Lab
en,Empire Earth II,Empire Earth II
ru,Empire Earth II,Empire Earth II
es,Empire Earth II,Empire Earth II
de,Empire Earth 2,Empire Earth II
it,Empire Earth II,Empire Earth II
fr,Empire Earth II,Empire Earth II
zh,地球帝国II,Empire Earth II
tr,Empire Earth II,Empire Earth II
pl,Empire Earth II,Empire Earth II
pt,Empire Earth II,Empire Earth II
fi,Empire Earth II,Empire Earth II
hu,Empire Earth II,Empire Earth II
nl,Empire Earth II,Empire Earth II
sv,Empire Earth II,Empire Earth II
vi,Empire Earth II,Empire Earth II
bg,Empire Earth II,Empire Earth II
lld,Empire Earth II,Empire Earth II
wuu,地球帝国II,Empire Earth II
arz,امپير ايرث اى (فيديو لعب),Empire Earth II
ca,Empire Earth II,Empire Earth II
en,Rampage World Tour,Rampage World Tour
es,Rampage World Tour,Rampage World Tour
fr,Rampage World Tour,Rampage World Tour
ca,Rampage World Tour,Rampage World Tour
lld,Rampage World Tour,Rampage World Tour
ja,ソドム (ファイナルファイト),Sodom (Final Fight)
en,Sodom (Final Fight),Sodom (Final Fight)
fr,Sodom (Capcom),Sodom (Final Fight)
en,Bonanza Bros.,Bonanza Bros.
ja,ボナンザブラザーズ,Bonanza Bros.
ru,Bonanza Bros.,Bonanza Bros.
es,Bonanza Bros.,Bonanza Bros.
pt,Bonanza Bros.,Bonanza Bros.
it,Bonanza Bros.,Bonanza Bros.
fr,Bonanza Bros.,Bonanza Bros.
ko,보난자 브라더스,Bonanza Bros.
nl,Bonanza Bros.,Bonanza Bros.
sv,Bonanza Bros.,Bonanza Bros.
arz,بونانزا بروس.,Bonanza Bros.
lld,Bonanza Bros.,Bonanza Bros.
en,Dual format,Dual format
hu,Kettős formátum,Dual format
en,Fatal Fury 2,Fatal Fury 2
ja,餓狼伝説2,Fatal Fury 2
es,Fatal Fury 2,Fatal Fury 2
zh,餓狼傳說2,Fatal Fury 2
fr,Fatal Fury 2,Fatal Fury 2
