lang,topic,topic_in_English
fr,"Warhammer 40,000: Dawn of War III","Warhammer 40,000: Dawn of War III"
es,Warhammer 40.000: Dawn of War III,"Warhammer 40,000: Dawn of War III"
uk,"Warhammer 40,000: Dawn of War III","Warhammer 40,000: Dawn of War III"
fi,"Warhammer 40,000: Dawn of War III","Warhammer 40,000: Dawn of War III"
hu,Warhammer 40 000: Dawn of War III,"Warhammer 40,000: Dawn of War III"
lld,"Warhammer 40,000: Dawn of War III","Warhammer 40,000: Dawn of War III"
en,Worm Whomper,Worm Whomper
fr,Worm Whomper,Worm Whomper
lld,Worm Whomper,Worm Whomper
en,Chaos;Child Love Chu Chu!!,Chaos;Child Love Chu Chu!!
ja,CHAOS;CHILD らぶchu☆chu!!,Chaos;Child Love Chu Chu!!
en,Blackwood Crossing,Blackwood Crossing
de,Blackwood Crossing,Blackwood Crossing
arz,بلاكود كروسينج,Blackwood Crossing
en,British Academy Games Award for Technical Achievement,British Academy Games Award for Technical Achievement
en,Semblance (video game),Semblance (video game)
ru,Semblance,Semblance (video game)
en,Murder off Miami,Murder off Miami
en,The Mummy Demastered,The Mummy Demastered
ru,The Mummy Demastered,The Mummy Demastered
en,Club Penguin (franchise),Club Penguin (franchise)
pt,Franquia Club Penguin,Club Penguin (franchise)
tr,Club Penguin (franchise),Club Penguin (franchise)
ro,Club Penguin (franciză),Club Penguin (franchise)
en,Total Mayhem (video game),Total Mayhem (video game)
en,Diablo Immortal,Diablo Immortal
ru,Diablo Immortal,Diablo Immortal
de,Diablo Immortal,Diablo Immortal
zh,暗黑破坏神：不朽,Diablo Immortal
es,Diablo Immortal,Diablo Immortal
fr,Diablo Immortal,Diablo Immortal
pl,Diablo Immortal,Diablo Immortal
ko,디아블로 이모탈,Diablo Immortal
pt,Diablo Immortal,Diablo Immortal
uk,Diablo Immortal,Diablo Immortal
nl,Diablo Immortal,Diablo Immortal
ro,Diablo Immortal,Diablo Immortal
arz,ديابلو امورتال,Diablo Immortal
lld,Diablo Immortal,Diablo Immortal
en,Barbie Riding Club,Barbie Riding Club
en,2019 Washington Justice season,2019 Washington Justice season
zh,还愿 (游戏),Devotion (video game)
en,Devotion (video game),Devotion (video game)
ru,Devotion (игра),Devotion (video game)
ja,還願,Devotion (video game)
es,Devotion (videojuego),Devotion (video game)
vi,Devotion (trò chơi điện tử),Devotion (video game)
ko,환원: 디보션,Devotion (video game)
fr,Devotion (jeu vidéo),Devotion (video game)
pt,Devotion (jogo eletrônico),Devotion (video game)
arz,ديڤوتيون,Devotion (video game)
lld,Devotion,Devotion (video game)
en,2019 Overwatch League Grand Finals,2019 Overwatch League Grand Finals
en,Andro Dunos,Andro Dunos
es,Andro Dunos,Andro Dunos
fr,Andro Dunos,Andro Dunos
it,Andro Dunos,Andro Dunos
lld,Andro Dunos,Andro Dunos
en,Mystic Wand,Mystic Wand
en,Cool Boarders,Cool Boarders
en,The Dig (video game),The Dig (video game)
ru,The Dig,The Dig (video game)
de,The Dig (Computerspiel),The Dig (video game)
es,The Dig,The Dig (video game)
it,The Dig,The Dig (video game)
fr,The Dig,The Dig (video game)
zh,異星搜奇,The Dig (video game)
pt,The Dig,The Dig (video game)
pl,The Dig,The Dig (video game)
sv,The Dig,The Dig (video game)
fi,The Dig,The Dig (video game)
no,The Dig,The Dig (video game)
cs,The Dig (počítačová hra),The Dig (video game)
nl,The Dig,The Dig (video game)
eu,The Dig,The Dig (video game)
arz,ث ديج,The Dig (video game)
ca,The Dig,The Dig (video game)
da,The Dig,The Dig (video game)
lld,The Dig,The Dig (video game)
en,Donkey Kong Country,Donkey Kong Country
ja,スーパードンキーコング,Donkey Kong Country
es,Donkey Kong Country,Donkey Kong Country
de,Donkey Kong Country,Donkey Kong Country
pt,Donkey Kong Country,Donkey Kong Country
fr,Donkey Kong Country,Donkey Kong Country
ru,Donkey Kong Country,Donkey Kong Country
it,Donkey Kong Country,Donkey Kong Country
zh,超级森喜刚,Donkey Kong Country
nl,Donkey Kong Country,Donkey Kong Country
fi,Donkey Kong Country,Donkey Kong Country
pl,Donkey Kong Country,Donkey Kong Country
simple,Donkey Kong Country,Donkey Kong Country
sv,Donkey Kong Country,Donkey Kong Country
ko,동키콩 컨트리,Donkey Kong Country
no,Donkey Kong Country,Donkey Kong Country
uk,Donkey Kong Country,Donkey Kong Country
wuu,超级大金刚,Donkey Kong Country
ca,Donkey Kong Country,Donkey Kong Country
gl,Donkey Kong Country,Donkey Kong Country
arz,دونكى كونج كونترى,Donkey Kong Country
la,Donkey Kong Country,Donkey Kong Country
zh-yue,大金剛國度,Donkey Kong Country
ast,Donkey Kong Country,Donkey Kong Country
en,Ultimate Play the Game,Ultimate Play the Game
ru,Ultimate Play the Game,Ultimate Play the Game
fr,Ultimate Play the Game,Ultimate Play the Game
es,Ultimate Play The Game,Ultimate Play the Game
zh,Ultimate Play the Game,Ultimate Play the Game
cs,Ultimate Play The Game,Ultimate Play the Game
pt,Ultimate Play the Game,Ultimate Play the Game
gl,Ultimate Play The Game,Ultimate Play the Game
sr,Ultimate Play The Game,Ultimate Play the Game
en,Sonic Advance 2,Sonic Advance 2
ru,Sonic Advance 2,Sonic Advance 2
ja,ソニックアドバンス2,Sonic Advance 2
es,Sonic Advance 2,Sonic Advance 2
fr,Sonic Advance 2,Sonic Advance 2
it,Sonic Advance 2,Sonic Advance 2
pt,Sonic Advance 2,Sonic Advance 2
de,Sonic Advance 2,Sonic Advance 2
zh,索尼克进化2,Sonic Advance 2
nl,Sonic Advance 2,Sonic Advance 2
fi,Sonic Advance 2,Sonic Advance 2
id,Sonic Advance 2,Sonic Advance 2
pl,Sonic Advance 2,Sonic Advance 2
sv,Sonic Advance 2,Sonic Advance 2
arz,سونيك ادڤانس 2,Sonic Advance 2
ko,소닉 어드밴스 2,Sonic Advance 2
uk,Sonic Advance 2,Sonic Advance 2
lld,Sonic Advance 2,Sonic Advance 2
ml,സോണിക് അഡ്വാൻസ് 2,Sonic Advance 2
en,StepMania,StepMania
ja,StepMania,StepMania
es,StepMania,StepMania
zh,StepMania,StepMania
fr,StepMania,StepMania
pt,StepMania,StepMania
cs,Stepmania,StepMania
de,StepMania,StepMania
it,StepMania,StepMania
sv,StepMania,StepMania
fi,StepMania,StepMania
id,StepMania,StepMania
no,StepMania,StepMania
ca,Stepmania,StepMania
da,StepMania,StepMania
nl,Stepmania,StepMania
pl,Stepmania,StepMania
ext,StepMania,StepMania
ms,StepMania,StepMania
en,Adrian Carmack,Adrian Carmack
fr,Adrian Carmack,Adrian Carmack
ru,"Кармак, Адриан",Adrian Carmack
es,Adrian Carmack,Adrian Carmack
it,Adrian Carmack,Adrian Carmack
de,Adrian Carmack,Adrian Carmack
pl,Adrian Carmack,Adrian Carmack
cs,Adrian Carmack,Adrian Carmack
fi,Adrian Carmack,Adrian Carmack
zh,阿德里安·卡马克,Adrian Carmack
hu,Adrian Carmack,Adrian Carmack
ja,エイドリアン・カーマック,Adrian Carmack
nl,Adrian Carmack,Adrian Carmack
sv,Adrian Carmack,Adrian Carmack
uk,Едріан Кармак,Adrian Carmack
id,Adrian Carmack,Adrian Carmack
arz,ادريان كارماك,Adrian Carmack
mg,Adrian Carmack,Adrian Carmack
en,Mudkip,Mudkip
ko,물짱이,Mudkip
ru,Мадкип,Mudkip
it,Mudkip,Mudkip
pt,Mudkip,Mudkip
vi,Mizugorou,Mudkip
nl,Mudkip,Mudkip
id,Mudkip,Mudkip
sh,Mudkip,Mudkip
hr,Mudkip,Mudkip
fr,Gobou,Mudkip
bs,Mudkip,Mudkip
cy,Mudkip,Mudkip
sk,Mudkip,Mudkip
hy,Մադկիպ,Mudkip
ms,Mudkip,Mudkip
no,Mudkip,Mudkip
jbo,mudkip,Mudkip
jv,Mudkip,Mudkip
en,Sonic the Hedgehog (OVA),Sonic the Hedgehog (OVA)
ja,ソニック・ザ・ヘッジホッグ (OVA),Sonic the Hedgehog (OVA)
ru,Sonic the Hedgehog: The Movie,Sonic the Hedgehog (OVA)
es,Sonic the Hedgehog (OVA),Sonic the Hedgehog (OVA)
it,Sonic the Hedgehog (OAV),Sonic the Hedgehog (OVA)
fr,Sonic the Hedgehog: The Movie,Sonic the Hedgehog (OVA)
pt,Sonic the Hedgehog: The Movie,Sonic the Hedgehog (OVA)
de,Sonic the Hedgehog (OVA),Sonic the Hedgehog (OVA)
pl,Sonic the Hedgehog: The Movie,Sonic the Hedgehog (OVA)
fi,Sonic the Hedgehog: The Movie,Sonic the Hedgehog (OVA)
tr,Kirpi Sonic (OVA),Sonic the Hedgehog (OVA)
ceb,Sonic the Hedgehog (OVA),Sonic the Hedgehog (OVA)
nl,Sonic the Hedgehog: The Movie,Sonic the Hedgehog (OVA)
ko,소닉 더 헤지호그 (OVA),Sonic the Hedgehog (OVA)
sl,Ježek Sonic (anime),Sonic the Hedgehog (OVA)
en,Earth 2150,Earth 2150
ru,Earth 2150,Earth 2150
de,Earth 2150,Earth 2150
uk,Earth 2150,Earth 2150
pl,Earth 2150: Escape from the Blue Planet,Earth 2150
fr,Earth 2150,Earth 2150
it,Earth 2150: Escape from the Blue Planet,Earth 2150
zh,公元2150 (遊戲),Earth 2150
es,Earth 2150,Earth 2150
ja,EARTH 2150,Earth 2150
hu,Earth 2150,Earth 2150
lld,Earth 2150,Earth 2150
en,TimeSplitters 2,TimeSplitters 2
ru,TimeSplitters 2,TimeSplitters 2
es,TimeSplitters 2,TimeSplitters 2
fr,TimeSplitters 2,TimeSplitters 2
ja,タイムスプリッター 〜時空の侵略者〜,TimeSplitters 2
it,TimeSplitters 2,TimeSplitters 2
pt,TimeSplitters 2,TimeSplitters 2
de,TimeSplitters 2,TimeSplitters 2
fi,TimeSplitters 2,TimeSplitters 2
sv,Timesplitters 2,TimeSplitters 2
no,TimeSplitters 2,TimeSplitters 2
lld,TimeSplitters 2,TimeSplitters 2
ru,Сайракс,Cyrax
es,Cyrax,Cyrax
en,Cyrax,Cyrax
it,Cyrax,Cyrax
tr,Cyrax,Cyrax
fi,Cyrax,Cyrax
uk,Сайракс,Cyrax
az,Sayraks (Mortal Kombat),Cyrax
pnb,ساۓرئکس (مارٹل کامبیٹ),Cyrax
ru,Горо (Mortal Kombat),Goro (Mortal Kombat)
en,Goro (Mortal Kombat),Goro (Mortal Kombat)
es,Goro,Goro (Mortal Kombat)
pt,Goro (personagem),Goro (Mortal Kombat)
it,Goro (Mortal Kombat),Goro (Mortal Kombat)
fr,Goro (Mortal Kombat),Goro (Mortal Kombat)
simple,Goro (Mortal Kombat),Goro (Mortal Kombat)
tr,Goro (Mortal Kombat),Goro (Mortal Kombat)
fi,Goro (Mortal Kombat),Goro (Mortal Kombat)
vi,Goro (Mortal Kombat),Goro (Mortal Kombat)
nl,Goro (Mortal Kombat),Goro (Mortal Kombat)
uk,Горо (Mortal Kombat),Goro (Mortal Kombat)
ca,Goro,Goro (Mortal Kombat)
uz,Goro (Mortal Kombat),Goro (Mortal Kombat)
az,Qoro (Mortal Kombat),Goro (Mortal Kombat)
pnb,گورو (مارٹل کامبیٹ),Goro (Mortal Kombat)
en,Ken's Labyrinth,Ken's Labyrinth
it,Ken's Labyrinth,Ken's Labyrinth
ru,Ken’s Labyrinth,Ken's Labyrinth
tr,Ken's Labyrinth,Ken's Labyrinth
nl,Ken's Labyrinth,Ken's Labyrinth
id,Ken's Labyrinth,Ken's Labyrinth
lld,Ken's Labyrinth,Ken's Labyrinth
en,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
ru,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
es,Prince of Persia: El Alma del Guerrero,Prince of Persia: Warrior Within
it,Prince of Persia: Spirito guerriero,Prince of Persia: Warrior Within
fr,Prince of Persia : L'Âme du guerrier,Prince of Persia: Warrior Within
pt,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
tr,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
pl,Prince of Persia: Dusza wojownika,Prince of Persia: Warrior Within
ja,プリンス・オブ・ペルシャ ケンシノココロ,Prince of Persia: Warrior Within
zh,波斯王子：武者之心,Prince of Persia: Warrior Within
uk,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
hu,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
fi,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
cs,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
az,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
de,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
hi,प्रिंस ऑफ पर्शिया: वॉरियर विदिन,Prince of Persia: Warrior Within
nl,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
hr,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
ro,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
ko,페르시아의 왕자: 전사의 길,Prince of Persia: Warrior Within
ka,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
simple,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
sv,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
arz,پرينس اوف پيرسيا: واريور ويثين,Prince of Persia: Warrior Within
ca,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
lld,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within
ml,പ്രിൻസ് ഓഫ് പേർഷ്യ: വാറിയർ വിത്തിൻ,Prince of Persia: Warrior Within
ne,प्रिन्स अफ पर्सिया: वारियर विदिन,Prince of Persia: Warrior Within
en,Maelstrom (role-playing game),Maelstrom (role-playing game)
ja,混沌の渦,Maelstrom (role-playing game)
en,Virtua Racing,Virtua Racing
ja,バーチャレーシング,Virtua Racing
es,Virtua Racing,Virtua Racing
ru,Virtua Racing,Virtua Racing
it,Virtua Racing,Virtua Racing
de,Virtua Racing,Virtua Racing
pt,Virtua Racing,Virtua Racing
fr,Virtua Racing (jeu vidéo),Virtua Racing
nl,Virtua Racing,Virtua Racing
fi,Virtua Racing,Virtua Racing
sv,Virtua Racing,Virtua Racing
ko,버추어 레이싱,Virtua Racing
ast,Virtua Racing,Virtua Racing
ca,Virtua Racing,Virtua Racing
lld,Virtua Racing,Virtua Racing
en,Drakkhen,Drakkhen
ja,ドラッケン,Drakkhen
fr,Drakkhen,Drakkhen
ko,드라켄,Drakkhen
it,Drakkhen,Drakkhen
zh,屠龙传记,Drakkhen
arz,دراكخين,Drakkhen
lld,Drakkhen,Drakkhen
en,Kroz,Kroz
it,Kroz,Kroz
en,Power Strike,Power Strike
ko,알레스터,Power Strike
fr,Aleste,Power Strike
ru,Aleste (серия игр),Power Strike
de,Aleste,Power Strike
it,Power Strike (serie),Power Strike
en,Super 8 (video game accessory),Super 8 (video game accessory)
de,Tristar (Nintendo),Super 8 (video game accessory)
en,Star Wars: Rebel Assault,Star Wars: Rebel Assault
de,Star Wars: Rebel Assault,Star Wars: Rebel Assault
fr,Star Wars: Rebel Assault,Star Wars: Rebel Assault
es,Star Wars: Rebel Assault,Star Wars: Rebel Assault
it,Star Wars: Rebel Assault,Star Wars: Rebel Assault
pt,Star Wars: Rebel Assault,Star Wars: Rebel Assault
cs,Star Wars: Rebel Assault,Star Wars: Rebel Assault
arz,ستار وارس: ريبيل اساولت,Star Wars: Rebel Assault
lld,Star Wars: Rebel Assault,Star Wars: Rebel Assault
en,Elite Dangerous,Elite Dangerous
ru,Elite Dangerous,Elite Dangerous
de,Elite: Dangerous,Elite Dangerous
fr,Elite: Dangerous,Elite Dangerous
es,Elite: Dangerous,Elite Dangerous
ja,Elite Dangerous,Elite Dangerous
it,Elite: Dangerous,Elite Dangerous
zh,精英：危機四伏,Elite Dangerous
pl,Elite Dangerous,Elite Dangerous
uk,Elite: Dangerous,Elite Dangerous
fi,Elite Dangerous,Elite Dangerous
cs,Elite: Dangerous,Elite Dangerous
ko,엘리트 데인저러스,Elite Dangerous
sr,Elite Dangerous,Elite Dangerous
arz,اليتي: دانجيروس,Elite Dangerous
simple,Elite Dangerous,Elite Dangerous
lld,Elite Dangerous,Elite Dangerous
en,Crash Nitro Kart,Crash Nitro Kart
es,Crash Nitro Kart,Crash Nitro Kart
it,Crash Nitro Kart,Crash Nitro Kart
ru,Crash Nitro Kart,Crash Nitro Kart
pt,Crash Nitro Kart,Crash Nitro Kart
fr,Crash Nitro Kart,Crash Nitro Kart
ja,クラッシュ・バンディクー 爆走!ニトロカート,Crash Nitro Kart
fi,Crash Nitro Kart,Crash Nitro Kart
id,Crash Nitro Kart,Crash Nitro Kart
pl,Crash Nitro Kart,Crash Nitro Kart
sr,Crash Nitro Kart,Crash Nitro Kart
sv,Crash Nitro Kart,Crash Nitro Kart
da,Crash Nitro Kart,Crash Nitro Kart
arz,كراش نيترو كارت,Crash Nitro Kart
simple,Crash Nitro Kart,Crash Nitro Kart
ceb,Crash Nitro Kart,Crash Nitro Kart
lld,Crash Nitro Kart,Crash Nitro Kart
en,VTech CreatiVision,VTech CreatiVision
fr,VTech CreatiVision,VTech CreatiVision
it,CreatiVision,VTech CreatiVision
pt,VTech CreatiVision,VTech CreatiVision
ka,VTech CreatiVision,VTech CreatiVision
sr,Salora Manager,VTech CreatiVision
en,Formula 1 97,Formula 1 97
it,Formula One 97,Formula 1 97
fr,Formula 1 97,Formula 1 97
es,Formula 1 97,Formula 1 97
fi,Formula 1 97,Formula 1 97
ru,Formula 1 97,Formula 1 97
de,Formel 1 97,Formula 1 97
lld,Formula 1 97,Formula 1 97
en,Partypoker,Partypoker
nl,Partypoker.com,Partypoker
ro,Partypoker,Partypoker
en,Complete Warrior,Complete Warrior
en,Sweet Tooth (Twisted Metal),Sweet Tooth (Twisted Metal)
en,Buck Rogers: Countdown to Doomsday,Buck Rogers: Countdown to Doomsday
fr,Buck Rogers: Countdown to Doomsday,Buck Rogers: Countdown to Doomsday
lld,Buck Rogers: Countdown to Doomsday,Buck Rogers: Countdown to Doomsday
en,Rage Racer,Rage Racer
ja,レイジレーサー,Rage Racer
es,Rage Racer,Rage Racer
it,Rage Racer,Rage Racer
fr,Rage Racer,Rage Racer
pl,Rage Racer,Rage Racer
id,Rage Racer,Rage Racer
lld,Rage Racer,Rage Racer
nl,Rage Racer,Rage Racer
simple,Rage Racer,Rage Racer
arz,ريچ ريسر,Rage Racer
en,ProDG (software),ProDG (software)
en,G-Nome,G-Nome
ja,G-Nome,G-Nome
fr,G-Nome,G-Nome
lld,G-Nome,G-Nome
en,Survival Kids,Survival Kids
pt,Survival Kids,Survival Kids
it,Stranded Kids,Survival Kids
lld,Survival Kids,Survival Kids
pl,Survival Kids,Survival Kids
en,The Mines of Bloodstone,The Mines of Bloodstone
en,Jeff Braun,Jeff Braun
fr,Jeff Braun,Jeff Braun
nl,Jeff Braun,Jeff Braun
en,GameRankings,GameRankings
ru,GameRankings,GameRankings
fr,GameRankings,GameRankings
es,GameRankings,GameRankings
zh,GameRankings,GameRankings
de,GameRankings,GameRankings
it,GameRankings,GameRankings
pt,GameRankings,GameRankings
pl,GameRankings,GameRankings
vi,GameRankings,GameRankings
tr,GameRankings,GameRankings
ja,GameRankings,GameRankings
uk,GameRankings,GameRankings
nl,GameRankings,GameRankings
az,GameRankings,GameRankings
fi,Game Rankings,GameRankings
id,GameRankings,GameRankings
ko,게임랭킹스,GameRankings
be,Game Rankings,GameRankings
sv,Gamerankings,GameRankings
ca,GameRankings,GameRankings
ro,GameRankings,GameRankings
uz,GameRankings,GameRankings
wuu,GameRankings,GameRankings
da,GameRankings,GameRankings
el,GameRankings,GameRankings
lt,GameRankings,GameRankings
no,GameRankings,GameRankings
gl,GameRankings,GameRankings
ka,GameRankings,GameRankings
bn,গেমর‍্যাংকিংস,GameRankings
hu,GameRankings,GameRankings
ms,GameRankings,GameRankings
simple,GameRankings,GameRankings
th,เกมแรงกิงส์,GameRankings
ja,ケンシロウ,Kenshiro
en,Kenshiro,Kenshiro
it,Kenshiro,Kenshiro
fr,Kenshiro,Kenshiro
th,เค็นชิโร่,Kenshiro
ko,켄시로,Kenshiro
en,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin
ja,悪魔城ドラキュラ ギャラリー オブ ラビリンス,Castlevania: Portrait of Ruin
es,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin
pt,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin
ru,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin
zh,惡魔城 迷宮迴廊,Castlevania: Portrait of Ruin
fr,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin
it,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin
ko,캐슬바니아: 폐허의 초상화,Castlevania: Portrait of Ruin
fi,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin
de,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin
nl,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin
simple,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin
arz,كاستليڤانيا: پورترايت اوف روين,Castlevania: Portrait of Ruin
lld,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin
en,Darkwatch,Darkwatch
es,Darkwatch,Darkwatch
pt,Darkwatch,Darkwatch
fr,Darkwatch,Darkwatch
ja,Darkwatch,Darkwatch
arz,دارك واتش,Darkwatch
lld,Darkwatch,Darkwatch
en,Alien vs Predator (Atari Jaguar game),Alien vs Predator (Atari Jaguar game)
ru,Alien vs Predator (Jaguar),Alien vs Predator (Atari Jaguar game)
sv,Alien vs Predator (Jaguar),Alien vs Predator (Atari Jaguar game)
fr,"Alien vs. Predator (jeu vidéo, 1994)",Alien vs Predator (Atari Jaguar game)
it,Alien vs Predator (videogioco 1994),Alien vs Predator (Atari Jaguar game)
pt,Alien vs. Predator (Jaguar),Alien vs Predator (Atari Jaguar game)
fi,Alien vs. Predator (Jaguar),Alien vs Predator (Atari Jaguar game)
nl,Alien vs Predator (computerspel uit 1994),Alien vs Predator (Atari Jaguar game)
lld,Alien vs Predator,Alien vs Predator (Atari Jaguar game)
en,Coktel Vision,Coktel Vision
fr,Coktel Vision,Coktel Vision
de,Coktel Vision,Coktel Vision
it,Coktel Vision,Coktel Vision
es,Coktel Vision,Coktel Vision
pl,Coktel Vision,Coktel Vision
en,Gloom (video game),Gloom (video game)
it,Gloom (videogioco),Gloom (video game)
en,Central Station (online service),Central Station (online service)
ca,Central Station,Central Station (online service)
en,Zeebo,Zeebo
pt,Zeebo,Zeebo
es,Zeebo,Zeebo
ru,Zeebo,Zeebo
ja,Zeebo,Zeebo
fr,Zeebo,Zeebo
it,Zeebo,Zeebo
de,Zeebo,Zeebo
zh,Zeebo,Zeebo
ko,지보 (게임기),Zeebo
uk,Zeebo,Zeebo
tr,Zeebo,Zeebo
sv,Zeebo,Zeebo
cs,Zeebo,Zeebo
simple,Zeebo,Zeebo
ka,Zeebo,Zeebo
qu,Zeebo,Zeebo
ast,Zeebo,Zeebo
arz,زيبو,Zeebo
en,Motos,Motos
ja,モトス,Motos
fr,Motos (jeu d'arcade),Motos
lld,Motos,Motos
fi,Motos,Motos
en,Zork books,Zork books
en,Cyber Troopers Virtual-On Oratorio Tangram,Cyber Troopers Virtual-On Oratorio Tangram
fr,Cyber Troopers Virtual-On: Oratorio Tangram,Cyber Troopers Virtual-On Oratorio Tangram
en,Gargoyle's Quest,Gargoyle's Quest
ja,レッドアリーマー 魔界村外伝,Gargoyle's Quest
es,Gargoyle's Quest,Gargoyle's Quest
de,Gargoyle’s Quest,Gargoyle's Quest
fr,Gargoyle's Quest,Gargoyle's Quest
it,Gargoyle's Quest,Gargoyle's Quest
sv,Gargoyle's Quest,Gargoyle's Quest
nn,Gargoyle's Quest,Gargoyle's Quest
arz,جارجويليس كويست,Gargoyle's Quest
el,Gargoyle's Quest,Gargoyle's Quest
lld,Gargoyle's Quest,Gargoyle's Quest
en,Paper doll (video games),Paper doll (video games)
zh,纸娃娃系统,Paper doll (video games)
zh-yue,紙公仔系統,Paper doll (video games)
en,Killzone 2,Killzone 2
ru,Killzone 2,Killzone 2
es,Killzone 2,Killzone 2
fr,Killzone 2,Killzone 2
it,Killzone 2,Killzone 2
pt,Killzone 2,Killzone 2
de,Killzone 2,Killzone 2
ja,KILLZONE 2,Killzone 2
zh,殺戮地帶2,Killzone 2
pl,Killzone 2,Killzone 2
nl,Killzone 2,Killzone 2
uk,Killzone 2,Killzone 2
fi,Killzone 2,Killzone 2
ko,킬존 2,Killzone 2
sv,Killzone 2,Killzone 2
da,Killzone 2,Killzone 2
ca,Killzone 2,Killzone 2
mn,Killzone 2,Killzone 2
no,Killzone 2,Killzone 2
arz,كيلزون 2,Killzone 2
lld,Killzone 2,Killzone 2
ms,Killzone 2,Killzone 2
simple,Killzone 2,Killzone 2
en,Ophidian 2350,Ophidian 2350
en,California Dreams (publishing label),California Dreams (publishing label)
tr,California Dreams (şirket),California Dreams (publishing label)
pl,California Dreams (producent gier komputerowych),California Dreams (publishing label)
en,Tri-Crescendo,Tri-Crescendo
ja,トライクレッシェンド,Tri-Crescendo
fr,Tri-Crescendo,Tri-Crescendo
es,Tri-Crescendo,Tri-Crescendo
de,Tri-Crescendo,Tri-Crescendo
zh,Tri-Crescendo,Tri-Crescendo
en,Daniel Greenberg (game designer),Daniel Greenberg (game designer)
en,Eminence Symphony Orchestra,Eminence Symphony Orchestra
ja,エミネンス交響楽団,Eminence Symphony Orchestra
