lang,topic,topic_in_English
it,½ Wangzi,1/2 Prince
en,Bumper Stars,Bumper Stars
lld,Bumper Stars,Bumper Stars
en,Putty Squad,Putty Squad
lld,Putty Squad,Putty Squad
en,Columns Crown,Columns Crown
fr,Columns Crown,Columns Crown
lld,Columns Crown,Columns Crown
en,Steambot Chronicles: Battle Tournament,Steambot Chronicles: Battle Tournament
lld,Steambot Chronicles: Battle Tournament,Steambot Chronicles: Battle Tournament
en,Bit Museum,Bit Museum
en,Blacklight: Tango Down,Blacklight: Tango Down
arz,بلاكليجت: تانجو دون,Blacklight: Tango Down
lld,Blacklight: Tango Down,Blacklight: Tango Down
en,Minigore,Minigore
pt,Minigore,Minigore
en,The Game Crafter,The Game Crafter
en,Perfect World Entertainment,Perfect World Entertainment
en,We Sing,We Sing
it,We Sing,We Sing
en,V for Victory: D-Day Utah Beach,V for Victory: D-Day Utah Beach
fr,V for Victory: Utah Beach,V for Victory: D-Day Utah Beach
en,Havoc (video game),Havoc (video game)
en,Lost Planet,Lost Planet
es,Lost Planet (serie),Lost Planet
de,Lost Planet,Lost Planet
it,Lost Planet (serie),Lost Planet
pt,Lost Planet,Lost Planet
fi,Lost Planet (pelisarja),Lost Planet
en,4 Nin Uchi Mahjong,4 Nin Uchi Mahjong
ja,ジャン狂,4 Nin Uchi Mahjong
zh,四人麻将,4 Nin Uchi Mahjong
th,โยนิงอูจิมาจัง,4 Nin Uchi Mahjong
wuu,四人麻将,4 Nin Uchi Mahjong
arz,فور بلاير سترايك ما جونج,4 Nin Uchi Mahjong
lld,4 Nin Uchi Mahjong,4 Nin Uchi Mahjong
nl,4nin-uchi Mahjong Jantotsu,4 Nin Uchi Mahjong
en,Hot Potato (video game),Hot Potato (video game)
zh,火热的马铃薯,Hot Potato (video game)
fr,Hot Potato!,Hot Potato (video game)
en,Lot Lot,Lot Lot
ja,ロットロット,Lot Lot
zh,豆豆迷宫,Lot Lot
lld,Lot Lot,Lot Lot
fr,Lot Lot,Lot Lot
nl,Lot Lot,Lot Lot
en,Facepunch Studios,Facepunch Studios
ru,Facepunch Studios,Facepunch Studios
es,Facepunch Studios,Facepunch Studios
simple,Facepunch Studios,Facepunch Studios
fr,Facepunch Studios,Facepunch Studios
de,Facepunch Studios,Facepunch Studios
pl,Facepunch Studios,Facepunch Studios
pt,Facepunch Studios,Facepunch Studios
tr,Facepunch Studios,Facepunch Studios
fi,Facepunch Studios,Facepunch Studios
ko,페이스펀치 스튜디오,Facepunch Studios
da,Facepunch Studios,Facepunch Studios
lt,Facepunch Studios,Facepunch Studios
arz,فيس پونش ستوديوز,Facepunch Studios
en,Panzer Campaigns,Panzer Campaigns
fr,Panzer Campaigns,Panzer Campaigns
en,Choice Provisions,Choice Provisions
fr,Choice Provisions,Choice Provisions
ca,Gaijin Games,Choice Provisions
zh,帝國文明,Ministry of War (game)
en,Ministry of War (game),Ministry of War (game)
fr,Ministry of War,Ministry of War (game)
de,Terra Militaris,Ministry of War (game)
pl,Terra Militaris,Ministry of War (game)
lld,Ministry of War,Ministry of War (game)
ja,鋼鉄の騎士,Koutetsu no Kishi
en,Koutetsu no Kishi,Koutetsu no Kishi
zh,钢铁之骑士,Koutetsu no Kishi
lld,Koutetsu no Kishi,Koutetsu no Kishi
en,Amazon (video game),Amazon (video game)
de,Amazon (Computerspiel),Amazon (video game)
lld,Amazon,Amazon (video game)
en,Killzone: Mercenary,Killzone: Mercenary
ru,Killzone: Mercenary,Killzone: Mercenary
fr,Killzone Mercenary,Killzone: Mercenary
ja,KILLZONE: Mercenary,Killzone: Mercenary
es,Killzone: Mercenary,Killzone: Mercenary
pt,Killzone: Mercenary,Killzone: Mercenary
it,Killzone: Mercenary,Killzone: Mercenary
de,Killzone: Mercenary,Killzone: Mercenary
pl,Killzone Najemnik,Killzone: Mercenary
uk,Killzone: Mercenary,Killzone: Mercenary
uz,Killzone: Mercenary,Killzone: Mercenary
arz,كيلزون: ميرسنرى,Killzone: Mercenary
mn,Killzone: Mercenary,Killzone: Mercenary
sv,Killzone: Mercenary,Killzone: Mercenary
lld,Killzone: Mercenary,Killzone: Mercenary
en,The Pinball Arcade,The Pinball Arcade
it,The Pinball Arcade,The Pinball Arcade
hu,The Pinball Arcade,The Pinball Arcade
ja,ガイア (ゲーム会社),Gaia (game company)
en,Gaia (game company),Gaia (game company)
en,Major League Baseball 2K5,Major League Baseball 2K5
fr,Major League Baseball 2K5,Major League Baseball 2K5
sv,Major League Baseball 2K5,Major League Baseball 2K5
en,Ben 10: Omniverse (video game),Ben 10: Omniverse (video game)
it,Ben 10: Omniverse (videogioco),Ben 10: Omniverse (video game)
pt,Ben 10: Omniverse (videojogo),Ben 10: Omniverse (video game)
fr,Ben 10: Omniverse (jeu vidéo),Ben 10: Omniverse (video game)
id,Ben 10: Omniverse (permainan video),Ben 10: Omniverse (video game)
simple,Ben 10: Omniverse (video game),Ben 10: Omniverse (video game)
no,Ben 10: Omniverse,Ben 10: Omniverse (video game)
arz,بين 10: اومنيڤيرس,Ben 10: Omniverse (video game)
ckb,بێن ١٠: ئۆمنیڤێرس (کایەی ڤیدیۆیی),Ben 10: Omniverse (video game)
lld,Ben 10: Omniverse,Ben 10: Omniverse (video game)
en,Ragnarok Odyssey,Ragnarok Odyssey
lld,Ragnarok Odyssey,Ragnarok Odyssey
en,N-Control Avenger,N-Control Avenger
en,Perspective (video game),Perspective (video game)
en,Pokémon X and Y,Pokémon X and Y
ja,ポケットモンスター X・Y,Pokémon X and Y
it,Pokémon X e Y,Pokémon X and Y
pt,Pokémon X e Y,Pokémon X and Y
fr,Pokémon X et Y,Pokémon X and Y
id,Pokémon X dan Y,Pokémon X and Y
es,Pokémon X y Pokémon Y,Pokémon X and Y
zh,宝可梦 X／Y,Pokémon X and Y
ru,Pokémon X и Y,Pokémon X and Y
de,Pokémon X und Y,Pokémon X and Y
vi,Pokémon X và Y,Pokémon X and Y
ko,포켓몬스터 X·Y,Pokémon X and Y
pl,Pokémon X i Y,Pokémon X and Y
nl,Pokémon X en Y,Pokémon X and Y
th,โปเกมอน X และ Y,Pokémon X and Y
fi,Pokémon X ja Y,Pokémon X and Y
tr,Pokémon X ve Y,Pokémon X and Y
simple,Pokémon X and Y,Pokémon X and Y
sv,Pokémon X och Y,Pokémon X and Y
da,Pokémon X og Y,Pokémon X and Y
no,Pokémon X og Y,Pokémon X and Y
sk,Pokémon X a Y,Pokémon X and Y
tl,Pokémon X at Y,Pokémon X and Y
arz,پوكيمون اكس اند واى,Pokémon X and Y
ast,Pokémon X y Y,Pokémon X and Y
cy,Pokémon X ac Y,Pokémon X and Y
eo,Pokemono X kaj Y,Pokémon X and Y
gl,Pokémon X e Y,Pokémon X and Y
sq,Pokemon x dhe y,Pokémon X and Y
ja,アイドル八犬伝,Idol Hakkenden
en,Idol Hakkenden,Idol Hakkenden
lld,Idol Hakkenden,Idol Hakkenden
en,Daedalic Entertainment,Daedalic Entertainment
de,Daedalic Entertainment,Daedalic Entertainment
ru,Daedalic Entertainment,Daedalic Entertainment
fr,Daedalic Entertainment,Daedalic Entertainment
it,Daedalic Entertainment,Daedalic Entertainment
es,Daedalic Entertainment,Daedalic Entertainment
pl,Daedalic Entertainment,Daedalic Entertainment
pt,Daedalic Entertainment,Daedalic Entertainment
uk,Daedalic Entertainment,Daedalic Entertainment
tr,Daedalic Entertainment,Daedalic Entertainment
nl,Daedalic Entertainment,Daedalic Entertainment
fi,Daedalic Entertainment,Daedalic Entertainment
cs,Daedalic Entertainment,Daedalic Entertainment
ro,Daedalic Entertainment,Daedalic Entertainment
en,Twine (software),Twine (software)
ru,Twine,Twine (software)
it,Twine,Twine (software)
de,Twine (Software),Twine (software)
fr,Twine,Twine (software)
pt,Twine (software),Twine (software)
cs,Twine,Twine (software)
fi,Twine,Twine (software)
ca,Twine,Twine (software)
eo,Twine,Twine (software)
en,Sonic Lost World,Sonic Lost World
ru,Sonic Lost World,Sonic Lost World
ja,ソニック ロストワールド,Sonic Lost World
it,Sonic Lost World,Sonic Lost World
fr,Sonic Lost World,Sonic Lost World
es,Sonic Lost World,Sonic Lost World
pt,Sonic Lost World,Sonic Lost World
de,Sonic Lost World,Sonic Lost World
zh,索尼克 失落的世界,Sonic Lost World
uk,Sonic Lost World,Sonic Lost World
fi,Sonic Lost World,Sonic Lost World
ko,소닉 로스트 월드,Sonic Lost World
simple,Sonic Lost World,Sonic Lost World
tr,Sonic Lost World,Sonic Lost World
nl,Sonic Lost World,Sonic Lost World
arz,سونيك لوسانت ورلد,Sonic Lost World
en,Asphalt 8: Airborne,Asphalt 8: Airborne
ru,Asphalt 8: Airborne,Asphalt 8: Airborne
es,Asphalt 8: Airborne,Asphalt 8: Airborne
ja,アスファルト8:Airborne,Asphalt 8: Airborne
zh,狂野飙车8：极速凌云,Asphalt 8: Airborne
fr,Asphalt 8: Airborne,Asphalt 8: Airborne
tr,Asphalt 8: Airborne,Asphalt 8: Airborne
pt,Asphalt 8: Airborne,Asphalt 8: Airborne
de,Asphalt 8: Airborne,Asphalt 8: Airborne
uk,Asphalt 8: Airborne,Asphalt 8: Airborne
vi,Asphalt 8: Airborne,Asphalt 8: Airborne
it,Asphalt 8: Airborne,Asphalt 8: Airborne
pl,Asphalt 8: Airborne,Asphalt 8: Airborne
ko,아스팔트 8: 에어본,Asphalt 8: Airborne
id,Asphalt 8: Airborne,Asphalt 8: Airborne
uz,Asphalt 8: Airborne,Asphalt 8: Airborne
hu,Asphalt 8: Airborne,Asphalt 8: Airborne
az,Asphalt 8: Airborne,Asphalt 8: Airborne
hy,Asphalt 8: Airborne,Asphalt 8: Airborne
arz,اسفلت 8: القياده الهوائيه,Asphalt 8: Airborne
sw,Asphalt 8: Airborne,Asphalt 8: Airborne
en,Level-5 Comcept,Level-5 Comcept
ja,Comcept,Level-5 Comcept
zh,Level-5 Comcept,Level-5 Comcept
fr,Comcept,Level-5 Comcept
en,Video games in the Czech Republic,Video games in the Czech Republic
cs,Český videoherní průmysl,Video games in the Czech Republic
en,PETA satirical browser games,PETA satirical browser games
zh,善待动物组织的讽刺网页游戏,PETA satirical browser games
it,Videogiochi della PETA,PETA satirical browser games
en,U.S. Special Forces: Team Factor,U.S. Special Forces: Team Factor
cs,Team Factor,U.S. Special Forces: Team Factor
fr,Team Factor,U.S. Special Forces: Team Factor
en,Fract OSC,Fract OSC
fr,Fract OSC,Fract OSC
en,1000 Days of Syria,1000 Days of Syria
th,1000 เดส์ออฟซีเรีย,1000 Days of Syria
vi,1000 Days of Syria,1000 Days of Syria
en,Hoard of the Dragon Queen,Hoard of the Dragon Queen
en,Roundabout (video game),Roundabout (video game)
fr,Roundabout (jeu vidéo),Roundabout (video game)
no,Roundabout (videospill),Roundabout (video game)
en,Enter the Dominatrix,Enter the Dominatrix
en,Inuyasha: A Feudal Fairy Tale,Inuyasha: A Feudal Fairy Tale
it,Inuyasha: A Feudal Fairy Tale,Inuyasha: A Feudal Fairy Tale
vi,InuYasha: Sengoku O'Togi Kassen,Inuyasha: A Feudal Fairy Tale
gl,Inuyasha: A Feudal Fairy Tale,Inuyasha: A Feudal Fairy Tale
lld,Inuyasha: A Feudal Fairy Tale,Inuyasha: A Feudal Fairy Tale
nl,InuYasha: A Feudal Fairy Tale,Inuyasha: A Feudal Fairy Tale
en,Need for Speed: No Limits,Need for Speed: No Limits
ru,Need for Speed: No Limits,Need for Speed: No Limits
es,Need for Speed: No Limits,Need for Speed: No Limits
pl,Need for Speed: No Limits,Need for Speed: No Limits
pt,Need for Speed: No Limits,Need for Speed: No Limits
it,Need for Speed: No Limits,Need for Speed: No Limits
ja,ニード・フォー・スピード ノーリミット,Need for Speed: No Limits
zh,極速快感：零極限,Need for Speed: No Limits
uk,Need for Speed: No Limits,Need for Speed: No Limits
id,Need for Speed: No Limits,Need for Speed: No Limits
fr,Need for Speed: No Limits,Need for Speed: No Limits
tr,Need for Speed: No Limits,Need for Speed: No Limits
th,นีดฟอร์สปีด: โนลิมิต,Need for Speed: No Limits
fi,Need for Speed: No Limits,Need for Speed: No Limits
vi,Need for Speed: No Limits,Need for Speed: No Limits
lt,Need for Speed: No Limits,Need for Speed: No Limits
ko,니드 포 스피드: 노 리미트,Need for Speed: No Limits
zh-yue,極速快感：零極限,Need for Speed: No Limits
arz,نيد فور سبيد نو ليمتز,Need for Speed: No Limits
bs,Need for Speed: No Limits,Need for Speed: No Limits
en,Team SoloMid,Team SoloMid
es,Team SoloMid,Team SoloMid
zh,Team SoloMid,Team SoloMid
de,Team SoloMid,Team SoloMid
fr,Team SoloMid,Team SoloMid
vi,Team SoloMid,Team SoloMid
tr,Team SoloMid,Team SoloMid
nl,Team SoloMid,Team SoloMid
id,Team SoloMid,Team SoloMid
en,Music of Grand Theft Auto V,Music of Grand Theft Auto V
ru,Саундтрек Grand Theft Auto V,Music of Grand Theft Auto V
es,Banda sonora de Grand Theft Auto V,Music of Grand Theft Auto V
fr,Musiques de Grand Theft Auto V,Music of Grand Theft Auto V
pt,Grand Theft Auto V (trilha sonora),Music of Grand Theft Auto V
ja,グランド・セフト・オートV サウンドトラック,Music of Grand Theft Auto V
fi,Luettelo videopelissä Grand Theft Auto V esiintyvistä kappaleista,Music of Grand Theft Auto V
th,ดนตรีประกอบของแกรนด์เทฟต์ออโต V,Music of Grand Theft Auto V
tl,Grand Theft Auto V at Online soundtrack,Music of Grand Theft Auto V
uk,Саундтрек Grand Theft Auto V,Music of Grand Theft Auto V
be,Саўндтрэк Grand Theft Auto V,Music of Grand Theft Auto V
be-tarask,Саўндтрэк Grand Theft Auto V,Music of Grand Theft Auto V
en,Battlefield Germany,Battlefield Germany
zh,德国战场,Battlefield Germany
fr,Battlefield Germany,Battlefield Germany
en,Team 8,Team 8
en,Hardware: Rivals,Hardware: Rivals
ru,Hardware: Rivals,Hardware: Rivals
arz,هاردوير: ريفلز,Hardware: Rivals
en,Xenonauts 2,Xenonauts 2
ru,Xenonauts 2,Xenonauts 2
pt,Xenonauts 2,Xenonauts 2
arz,اكسينوناوتس 2,Xenonauts 2
en,God Wars: Future Past,God Wars: Future Past
ja,GOD WARS 〜時をこえて〜,God Wars: Future Past
ja,ラグナストライクエンジェルズ,Ragnastrike Angels
en,Ragnastrike Angels,Ragnastrike Angels
zh,拉格纳强袭天使,Ragnastrike Angels
es,Ragnastrike Angels,Ragnastrike Angels
it,Ragnastrike Angels,Ragnastrike Angels
ko,라그나스트라이크 엔젤스,Ragnastrike Angels
en,Febiven,Febiven
en,Livelock (video game),Livelock (video game)
ru,Livelock,Livelock (video game)
en,Red Dead Redemption 2,Red Dead Redemption 2
ru,Red Dead Redemption 2,Red Dead Redemption 2
es,Red Dead Redemption 2,Red Dead Redemption 2
fr,Red Dead Redemption II,Red Dead Redemption 2
de,Red Dead Redemption 2,Red Dead Redemption 2
it,Red Dead Redemption II,Red Dead Redemption 2
pt,Red Dead Redemption 2,Red Dead Redemption 2
zh,碧血狂殺2,Red Dead Redemption 2
ja,レッド・デッド・リデンプションII,Red Dead Redemption 2
pl,Red Dead Redemption 2,Red Dead Redemption 2
tr,Red Dead Redemption 2,Red Dead Redemption 2
fi,Red Dead Redemption 2,Red Dead Redemption 2
uk,Red Dead Redemption 2,Red Dead Redemption 2
nl,Red Dead Redemption 2,Red Dead Redemption 2
id,Red Dead Redemption 2,Red Dead Redemption 2
cs,Red Dead Redemption 2,Red Dead Redemption 2
sv,Red Dead Redemption 2,Red Dead Redemption 2
vi,Red Dead Redemption 2,Red Dead Redemption 2
ro,Red Dead Redemption 2,Red Dead Redemption 2
sr,Red Dead Redemption 2,Red Dead Redemption 2
el,Red Dead Redemption 2,Red Dead Redemption 2
ko,레드 데드 리뎀션 2,Red Dead Redemption 2
th,เรดเดดรีเดมพ์ชัน 2,Red Dead Redemption 2
arz,ريد ديد ريدمبشن 2,Red Dead Redemption 2
da,Red Dead Redemption 2,Red Dead Redemption 2
sk,Red Dead Redemption 2,Red Dead Redemption 2
no,Red Dead Redemption 2,Red Dead Redemption 2
bg,Red Dead Redemption 2,Red Dead Redemption 2
lt,Red Dead Redemption 2,Red Dead Redemption 2
az,Red Dead Redemption 2,Red Dead Redemption 2
wuu,荒野大镖客2,Red Dead Redemption 2
ca,Red Dead Redemption 2,Red Dead Redemption 2
ka,Red Dead Redemption 2,Red Dead Redemption 2
eu,Red Dead Redemption 2,Red Dead Redemption 2
et,Red Dead Redemption 2,Red Dead Redemption 2
ckb,ڕێد دێد ڕیدێمپشن ٢,Red Dead Redemption 2
gl,Red Dead Redemption 2,Red Dead Redemption 2
simple,Red Dead Redemption 2,Red Dead Redemption 2
smn,Red Dead Redemption 2,Red Dead Redemption 2
hy,Red Dead Redemption 2,Red Dead Redemption 2
is,Red Dead Redemption 2,Red Dead Redemption 2
uz,Red Dead Redemption 2,Red Dead Redemption 2
lld,Red Dead Redemption 2,Red Dead Redemption 2
la,Red Dead Redemption 2,Red Dead Redemption 2
nn,Red Dead Redemption 2,Red Dead Redemption 2
ast,Red Dead Redemption 2,Red Dead Redemption 2
en,Middle-earth: Shadow of War,Middle-earth: Shadow of War
ru,Middle-earth: Shadow of War,Middle-earth: Shadow of War
it,La Terra di Mezzo: L'ombra della guerra,Middle-earth: Shadow of War
de,Mittelerde: Schatten des Krieges,Middle-earth: Shadow of War
es,La Tierra Media: sombras de guerra,Middle-earth: Shadow of War
fr,La Terre du Milieu : L'Ombre de la guerre,Middle-earth: Shadow of War
zh,中土世界：戰爭之影,Middle-earth: Shadow of War
pt,Middle-earth: Shadow of War,Middle-earth: Shadow of War
pl,Śródziemie: Cień wojny,Middle-earth: Shadow of War
uk,Middle-earth: Shadow of War,Middle-earth: Shadow of War
tr,Middle-earth: Shadow of War,Middle-earth: Shadow of War
cs,Middle-earth: Shadow of War,Middle-earth: Shadow of War
nl,Middle-earth: Shadow of War,Middle-earth: Shadow of War
fi,Middle-earth: Shadow of War,Middle-earth: Shadow of War
