lang,topic,topic_in_English
fr,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
es,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
pl,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
it,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
uk,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
hu,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
pt,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
cs,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
zh,星球大戰 絕地武士III：絕地學院,Star Wars Jedi Knight: Jedi Academy
fi,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
sv,Star Wars: Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
tr,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
nl,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
no,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
da,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
ko,스타워즈 제다이 나이트: 제다이 아카데미,Star Wars Jedi Knight: Jedi Academy
is,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
gl,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
arz,ستار وارس چيدى كنيجت: چيدى اكاديمى,Star Wars Jedi Knight: Jedi Academy
eo,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
lld,Star Wars Jedi Knight: Jedi Academy,Star Wars Jedi Knight: Jedi Academy
en,Digger (video game),Digger (video game)
ru,Digger,Digger (video game)
de,Digger (Computerspiel),Digger (video game)
es,Digger,Digger (video game)
nl,Digger (computerspel),Digger (video game)
fr,Digger (jeu vidéo),Digger (video game)
uk,Digger,Digger (video game)
lld,Digger,Digger (video game)
en,Daybreak Game Company,Daybreak Game Company
de,Daybreak Game Company,Daybreak Game Company
ja,デイブレイクゲーム,Daybreak Game Company
fr,Daybreak Game Company,Daybreak Game Company
ru,Daybreak Game Company,Daybreak Game Company
es,Daybreak Game Company,Daybreak Game Company
zh,黎明游戏公司,Daybreak Game Company
pt,Daybreak Game Company,Daybreak Game Company
pl,Daybreak Game Company,Daybreak Game Company
fi,Daybreak Game Company,Daybreak Game Company
ko,데이브레이크 게임 컴퍼니,Daybreak Game Company
sv,Daybreak Game Company,Daybreak Game Company
arz,داى بريك جيم كومبانى,Daybreak Game Company
ro,Daybreak Game Company,Daybreak Game Company
en,Conquest of the Empire,Conquest of the Empire
de,Conquest of the Empire,Conquest of the Empire
es,Conquest of the Empire,Conquest of the Empire
it,Conquest of the Empire,Conquest of the Empire
en,Trade Wars,Trade Wars
en,Dance pad,Dance pad
ru,Танцевальная платформа,Dance pad
es,Plataforma de baile,Dance pad
de,Tanzmatte,Dance pad
cs,Taneční podložka,Dance pad
fr,Tapis de danse,Dance pad
zh,跳舞毯,Dance pad
uk,Танцювальна платформа,Dance pad
sv,Dansmatta,Dance pad
et,Tantsumatt,Dance pad
fi,Tanssiohjain,Dance pad
en,Adventures of Yogi Bear,Adventures of Yogi Bear
fr,Yogi Bear: Cartoon Capers,Adventures of Yogi Bear
fi,Yogi Bear’s Cartoon Capers,Adventures of Yogi Bear
it,Yogi Bear: Cartoon Capers,Adventures of Yogi Bear
sv,Adventures of Yogi Bear,Adventures of Yogi Bear
en,Tech Romancer,Tech Romancer
ja,超鋼戦紀キカイオー,Tech Romancer
fr,Tech Romancer,Tech Romancer
it,Tech Romancer,Tech Romancer
ko,초강전기 키카이오,Tech Romancer
lld,Tech Romancer,Tech Romancer
en,PlayOnline,PlayOnline
ja,PlayOnline,PlayOnline
zh,PlayOnline,PlayOnline
pt,PlayOnline,PlayOnline
en,Fatality (Mortal Kombat),Fatality (Mortal Kombat)
ru,Fatality,Fatality (Mortal Kombat)
es,Fatality (Mortal Kombat),Fatality (Mortal Kombat)
pt,Finalização (Mortal Kombat),Fatality (Mortal Kombat)
pl,Fatality,Fatality (Mortal Kombat)
vi,Fatality (Mortal Kombat),Fatality (Mortal Kombat)
tr,Fatality (Mortal Kombat),Fatality (Mortal Kombat)
zh-yue,Fatality,Fatality (Mortal Kombat)
az,Fatality,Fatality (Mortal Kombat)
ja,アレックス (ストリートファイター),Alex (Street Fighter)
en,Alex (Street Fighter),Alex (Street Fighter)
es,Alex (Street Fighter),Alex (Street Fighter)
pt,Alex (Street Fighter),Alex (Street Fighter)
en,Ogre Battle: The March of the Black Queen,Ogre Battle: The March of the Black Queen
ja,伝説のオウガバトル,Ogre Battle: The March of the Black Queen
fr,Ogre Battle: The March of the Black Queen,Ogre Battle: The March of the Black Queen
ru,Ogre Battle: The March of the Black Queen,Ogre Battle: The March of the Black Queen
it,Ogre Battle: The March of the Black Queen,Ogre Battle: The March of the Black Queen
ko,전설의 오거 배틀,Ogre Battle: The March of the Black Queen
pl,Ogre Battle: The March of the Black Queen,Ogre Battle: The March of the Black Queen
arz,اوجر باتلي: ث مارتش اوف ث بلاك كوين,Ogre Battle: The March of the Black Queen
nl,Ogre Battle: The March of the Black Queen,Ogre Battle: The March of the Black Queen
lld,Ogre Battle: The March of the Black Queen,Ogre Battle: The March of the Black Queen
en,Dream Park,Dream Park
en,Baten Kaitos: Eternal Wings and the Lost Ocean,Baten Kaitos: Eternal Wings and the Lost Ocean
ja,バテン・カイトス 終わらない翼と失われた海,Baten Kaitos: Eternal Wings and the Lost Ocean
fr,Baten Kaitos : Les Ailes éternelles et l'Océan perdu,Baten Kaitos: Eternal Wings and the Lost Ocean
de,Baten Kaitos: Die Schwingen der Ewigkeit und der verlorene Ozean,Baten Kaitos: Eternal Wings and the Lost Ocean
es,Baten Kaitos: Eternal Wings and the Lost Ocean,Baten Kaitos: Eternal Wings and the Lost Ocean
zh,霸天开拓史 永恒之翼与失落之海,Baten Kaitos: Eternal Wings and the Lost Ocean
it,Baten Kaitos (videogioco),Baten Kaitos: Eternal Wings and the Lost Ocean
pt,Baten Kaitos: Eternal Wings and the Lost Ocean,Baten Kaitos: Eternal Wings and the Lost Ocean
fi,Baten Kaitos: Eternal Wings and the Lost Ocean,Baten Kaitos: Eternal Wings and the Lost Ocean
ko,바텐 카이토스: 끝나지 않는 날개와 잃어버린 바다,Baten Kaitos: Eternal Wings and the Lost Ocean
arz,باتين كايتوس: اتيرنال وينجس اند ث لوسانت اوساين,Baten Kaitos: Eternal Wings and the Lost Ocean
lld,Baten Kaitos: Eternal Wings and the Lost Ocean,Baten Kaitos: Eternal Wings and the Lost Ocean
en,Tork: Prehistoric Punk,Tork: Prehistoric Punk
fr,Tork: Prehistoric Punk,Tork: Prehistoric Punk
lld,Tork: Prehistoric Punk,Tork: Prehistoric Punk
en,Superior Software,Superior Software
pt,Superior Software,Superior Software
en,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
es,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
ru,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
fr,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
it,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
pt,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
de,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
pl,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
ja,レガシー・オブ・ケイン ソウル・リーヴァー,Legacy of Kain: Soul Reaver
zh,凯恩的遗产：勾魂使者,Legacy of Kain: Soul Reaver
uk,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
nl,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
ko,레거시 오브 케인: 소울 리버,Legacy of Kain: Soul Reaver
simple,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
sv,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
arz,ليجاسى اوف كاين: سول رايڤير,Legacy of Kain: Soul Reaver
gl,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
lld,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
en,Bill Budge,Bill Budge
fr,Bill Budge,Bill Budge
en,Rescue Heroes,Rescue Heroes
en,Coded Arms,Coded Arms
ja,CODED ARMS,Coded Arms
en,Capcom vs. SNK 2,Capcom vs. SNK 2
ja,CAPCOM VS. SNK 2 MILLIONAIRE FIGHTING 2001,Capcom vs. SNK 2
es,Capcom vs. SNK 2: Mark of the Millennium 2001,Capcom vs. SNK 2
pt,Capcom vs. SNK 2: Mark of the Millennium 2001,Capcom vs. SNK 2
fr,Capcom vs. SNK 2: Mark of the Millennium 2001,Capcom vs. SNK 2
it,Capcom vs. SNK 2,Capcom vs. SNK 2
fi,Capcom vs. SNK 2,Capcom vs. SNK 2
th,แคปคอม vs. เอสเอ็นเค 2,Capcom vs. SNK 2
vi,Capcom vs. SNK 2: Mark of the Millennium 2001,Capcom vs. SNK 2
lld,Capcom vs. SNK 2,Capcom vs. SNK 2
en,Digimon World,Digimon World
ja,デジモンワールド,Digimon World
es,Digimon World,Digimon World
pt,Digimon World,Digimon World
fr,Digimon World,Digimon World
it,Digimon World,Digimon World
id,Digimon World,Digimon World
pl,Digimon World,Digimon World
fi,Digimon World,Digimon World
sv,Digimon World,Digimon World
ast,Digimon World,Digimon World
arz,ديجيمون وورلد,Digimon World
lld,Digimon World,Digimon World
en,The Simpsons: Bart vs. the Space Mutants,The Simpsons: Bart vs. the Space Mutants
es,The Simpsons: Bart vs. the Space Mutants,The Simpsons: Bart vs. the Space Mutants
ru,The Simpsons: Bart vs. The Space Mutants,The Simpsons: Bart vs. the Space Mutants
it,The Simpsons: Bart vs. the Space Mutants,The Simpsons: Bart vs. the Space Mutants
fr,The Simpsons: Bart vs. the Space Mutants,The Simpsons: Bart vs. the Space Mutants
pt,The Simpsons: Bart vs. the Space Mutants,The Simpsons: Bart vs. the Space Mutants
fi,The Simpsons: Bart vs. the Space Mutants,The Simpsons: Bart vs. the Space Mutants
cs,The Simpsons: Bart vs. the Space Mutants,The Simpsons: Bart vs. the Space Mutants
nl,The Simpsons: Bart vs. the Space Mutants,The Simpsons: Bart vs. the Space Mutants
tr,The Simpsons: Bart vs. the Space Mutants,The Simpsons: Bart vs. the Space Mutants
gl,The Simpsons: Bart vs. the Space Mutants,The Simpsons: Bart vs. the Space Mutants
lld,The Simpsons: Bart vs. the Space Mutants,The Simpsons: Bart vs. the Space Mutants
sv,The Simpsons: Bart vs. the Space Mutants,The Simpsons: Bart vs. the Space Mutants
en,Need for Speed: Porsche Unleashed,Need for Speed: Porsche Unleashed
ru,Need for Speed: Porsche,Need for Speed: Porsche Unleashed
de,Need for Speed: Porsche,Need for Speed: Porsche Unleashed
es,Need for Speed: Porsche Unleashed,Need for Speed: Porsche Unleashed
pt,Need for Speed: Porsche Unleashed,Need for Speed: Porsche Unleashed
pl,Need for Speed: Porsche 2000,Need for Speed: Porsche Unleashed
fr,Need for Speed: Porsche 2000,Need for Speed: Porsche Unleashed
it,Need for Speed: Porsche 2000,Need for Speed: Porsche Unleashed
uk,Need for Speed: Porsche Unleashed,Need for Speed: Porsche Unleashed
zh,极品飞车：保时捷之旅,Need for Speed: Porsche Unleashed
ro,Need for Speed: Porsche Unleashed,Need for Speed: Porsche Unleashed
ja,ニード・フォー・スピード ポルシェ・アンリーシュド,Need for Speed: Porsche Unleashed
ko,니드 포 스피드: 포르쉐 2000,Need for Speed: Porsche Unleashed
nl,Need for Speed: Porsche 2000,Need for Speed: Porsche Unleashed
tr,Need For Speed: Porsche Unleashed,Need for Speed: Porsche Unleashed
hu,Need for Speed: Porsche Unleashed,Need for Speed: Porsche Unleashed
sv,Need for Speed: Porsche 2000,Need for Speed: Porsche Unleashed
lt,Need for Speed: Porsche Unleashed,Need for Speed: Porsche Unleashed
fi,Need for Speed: Porsche Unleashed,Need for Speed: Porsche Unleashed
sk,Need for Speed: Porsche 2000,Need for Speed: Porsche Unleashed
lv,Need for Speed: Porsche 2000,Need for Speed: Porsche Unleashed
arz,نيد فور سبيد: بورش انليشد,Need for Speed: Porsche Unleashed
zh-yue,極速快感：保時捷的榮耀,Need for Speed: Porsche Unleashed
gl,Need for Speed: Porsche Unleashed,Need for Speed: Porsche Unleashed
lld,Need for Speed: Porsche Unleashed,Need for Speed: Porsche Unleashed
wuu,极品飞车：保时捷之旅,Need for Speed: Porsche Unleashed
en,Dark Champions,Dark Champions
en,The Lost World: Jurassic Park (console game),The Lost World: Jurassic Park (console game)
ru,"The Lost World: Jurassic Park (игра, PlayStation и Saturn)",The Lost World: Jurassic Park (console game)
it,The Lost World: Jurassic Park (videogioco),The Lost World: Jurassic Park (console game)
fr,"Le Monde perdu : Jurassic Park (jeu vidéo, consoles de salon)",The Lost World: Jurassic Park (console game)
de,Vergessene Welt: Jurassic Park (Computerspiel),The Lost World: Jurassic Park (console game)
fi,The Lost World: Jurassic Park (konsolipeli),The Lost World: Jurassic Park (console game)
lld,The Lost World: Jurassic Park (console game),The Lost World: Jurassic Park (console game)
en,Alisia Dragoon,Alisia Dragoon
ja,アリシアドラグーン,Alisia Dragoon
ru,Alisia Dragoon,Alisia Dragoon
pt,Alisia Dragoon,Alisia Dragoon
fr,Alisia Dragoon,Alisia Dragoon
it,Alisia Dragoon,Alisia Dragoon
ko,아리시아 드라군,Alisia Dragoon
lld,Alisia Dragoon,Alisia Dragoon
sv,Alisia Dragoon,Alisia Dragoon
en,Demon Sword,Demon Sword
ja,不動明王伝,Demon Sword
zh,不动明王传,Demon Sword
nl,Demon Sword,Demon Sword
lld,Demon Sword,Demon Sword
en,Cannonball Blitz,Cannonball Blitz
fr,Cannonball Blitz,Cannonball Blitz
lld,Cannonball Blitz,Cannonball Blitz
en,Stellar 7,Stellar 7
it,Stellar 7,Stellar 7
fr,Stellar 7,Stellar 7
en,Risky Woods,Risky Woods
es,Risky Woods,Risky Woods
fr,Risky Woods,Risky Woods
it,Risky Woods,Risky Woods
pl,Risky Woods,Risky Woods
lld,Risky Woods,Risky Woods
sv,Risky Woods,Risky Woods
en,LiberoGrande,LiberoGrande
ja,リベログランデ,LiberoGrande
es,Libero Grande,LiberoGrande
it,Libero Grande,LiberoGrande
fr,Libero Grande,LiberoGrande
fi,Libero Grande,LiberoGrande
lld,Libero Grande,LiberoGrande
ja,SIREN (ゲームソフト),Siren (video game)
en,Siren (video game),Siren (video game)
zh,死魂曲,Siren (video game)
es,Forbidden Siren,Siren (video game)
ru,Forbidden Siren (игра),Siren (video game)
it,Forbidden Siren,Siren (video game)
pt,Siren (jogo eletrônico),Siren (video game)
fr,Forbidden Siren,Siren (video game)
id,Siren (permainan video),Siren (video game)
fi,Forbidden Siren,Siren (video game)
el,Forbidden Siren,Siren (video game)
ko,사이렌 (비디오 게임),Siren (video game)
uk,Siren (відеогра),Siren (video game)
nl,Forbidden Siren,Siren (video game)
sv,Forbidden Siren,Siren (video game)
simple,Siren (video game),Siren (video game)
ms,Forbidden Siren,Siren (video game)
arz,سايرن (فيديو لعب),Siren (video game)
lld,Siren,Siren (video game)
en,Magna Carta: The Phantom of Avalanche,Magna Carta: The Phantom of Avalanche
ko,마그나카르타 (비디오 게임),Magna Carta: The Phantom of Avalanche
en,Kingdom of Paradise,Kingdom of Paradise
ja,天地の門,Kingdom of Paradise
lld,Kingdom of Paradise,Kingdom of Paradise
en,DreamMix TV World Fighters,DreamMix TV World Fighters
ja,ドリームミックスTV ワールドファイターズ,DreamMix TV World Fighters
es,DreamMix TV World Figthers,DreamMix TV World Fighters
ru,DreamMix TV World Fighters,DreamMix TV World Fighters
fr,DreamMix TV World Fighters,DreamMix TV World Fighters
lld,DreamMix TV World Fighters,DreamMix TV World Fighters
nl,DreamMix TV World Fighters,DreamMix TV World Fighters
en,Fire Emblem: Mystery of the Emblem,Fire Emblem: Mystery of the Emblem
ja,ファイアーエムブレム 紋章の謎,Fire Emblem: Mystery of the Emblem
zh,火焰之纹章 纹章之谜,Fire Emblem: Mystery of the Emblem
fr,Fire Emblem: Monshō no Nazo,Fire Emblem: Mystery of the Emblem
es,Fire Emblem: Monshō no Nazo,Fire Emblem: Mystery of the Emblem
it,Fire Emblem: Monshō no Nazo,Fire Emblem: Mystery of the Emblem
pt,Fire Emblem: Mystery of the Emblem,Fire Emblem: Mystery of the Emblem
vi,Fire Emblem Monshō no Nazo,Fire Emblem: Mystery of the Emblem
lld,Fire Emblem: Mystery of the Emblem,Fire Emblem: Mystery of the Emblem
wuu,火焰个纹章 纹章之谜,Fire Emblem: Mystery of the Emblem
ca,Fire Emblem: Monshō no Nazo,Fire Emblem: Mystery of the Emblem
en,Nicky Boom,Nicky Boom
ru,Nicky Boom,Nicky Boom
fr,Nicky Boom,Nicky Boom
lld,Nicky Boom,Nicky Boom
nl,Nicky Boom,Nicky Boom
en,Kazumi Totaka,Kazumi Totaka
ja,戸高一生,Kazumi Totaka
es,Kazumi Totaka,Kazumi Totaka
fr,Kazumi Totaka,Kazumi Totaka
de,Kazumi Totaka,Kazumi Totaka
ru,"Тотака, Кадзуми",Kazumi Totaka
zh,户高一生,Kazumi Totaka
it,Kazumi Totaka,Kazumi Totaka
pt,Kazumi Totaka,Kazumi Totaka
nl,Kazumi Totaka,Kazumi Totaka
sv,Kazumi Totaka,Kazumi Totaka
ko,토타카 카즈미,Kazumi Totaka
th,คาซูมิ โทตากะ,Kazumi Totaka
fi,Kazumi Totaka,Kazumi Totaka
zh-yue,戶高一生,Kazumi Totaka
arz,كازومى توتاكا,Kazumi Totaka
ceb,Kazumi Totaka,Kazumi Totaka
gl,Kazumi Totaka,Kazumi Totaka
en,Airline Tycoon,Airline Tycoon
fr,Airline Tycoon,Airline Tycoon
pl,Airline Tycoon,Airline Tycoon
ko,에어라인 타이쿤,Airline Tycoon
es,Airline Tycoon,Airline Tycoon
pt,Airline Tycoon,Airline Tycoon
de,Airline Tycoon (Computerspiel),Airline Tycoon
nl,Airline Tycoon,Airline Tycoon
uk,Airline Tycoon,Airline Tycoon
sv,Airline Tycoon,Airline Tycoon
ca,Airline Tycoon,Airline Tycoon
lld,Airline Tycoon,Airline Tycoon
en,Buffalo Castle,Buffalo Castle
ja,バッファロー・キャッスル,Buffalo Castle
en,Pro Pinball: Timeshock!,Pro Pinball: Timeshock!
de,Pro Pinball: Timeshock!,Pro Pinball: Timeshock!
ru,Pro Pinball: Timeshock!,Pro Pinball: Timeshock!
es,Pro Pinball: Timeshock!,Pro Pinball: Timeshock!
pl,Pro Pinball: Timeshock!,Pro Pinball: Timeshock!
fr,Pro Pinball: Timeshock!,Pro Pinball: Timeshock!
en,Polygon Man,Polygon Man
de,Timon (Vorname),Timon & Pumbaa's Jungle Games
en,Timon,Timon & Pumbaa's Jungle Games
ru,Тимон,Timon & Pumbaa's Jungle Games
hu,Timon,Timon & Pumbaa's Jungle Games
no,Timon,Timon & Pumbaa's Jungle Games
sl,Timon,Timon & Pumbaa's Jungle Games
sv,Timon (namn),Timon & Pumbaa's Jungle Games
en,Twin Cobra II,Twin Cobra II
ja,究極タイガーII,Twin Cobra II
en,Front Line (video game),Front Line (video game)
ja,フロントライン (タイトー),Front Line (video game)
es,Front Line,Front Line (video game)
zh,前线任务 (1982年游戏),Front Line (video game)
ko,프론트 라인 (비디오 게임),Front Line (video game)
wuu,前线任务（1982年游戏）,Front Line (video game)
en,Starlord (video game),Starlord (video game)
fr,Starlord,Starlord (video game)
lld,Starlord,Starlord (video game)
arz,ستارلورد,Starlord (video game)
en,Dino Master,Dino Master
ja,恐竜対戦 ダイノチャンプ 最強DNA発掘大作戦,Dino Master
lld,Dino Master,Dino Master
en,Power Rangers Zeo: Battle Racers,Power Rangers Zeo: Battle Racers
es,Power Rangers Zeo: Battle Racers,Power Rangers Zeo: Battle Racers
it,Power Rangers Zeo: Battle Racers,Power Rangers Zeo: Battle Racers
pt,Power Rangers Zeo: Battle Racers,Power Rangers Zeo: Battle Racers
fi,Power Rangers Zeo: Battle Racers,Power Rangers Zeo: Battle Racers
lld,Power Rangers Zeo: Battle Racers,Power Rangers Zeo: Battle Racers
th,พาวเวอร์เรนเจอส์ซีโอ : แบตเทิลเรเซอส์,Power Rangers Zeo: Battle Racers
en,Pinobee: Wings of Adventure,Pinobee: Wings of Adventure
ja,ピノビィーの大冒険,Pinobee: Wings of Adventure
fr,Pinobee : Les Ailes de l'aventure,Pinobee: Wings of Adventure
pt,Pinobee: Wings of Adventure,Pinobee: Wings of Adventure
lld,Pinobee: Wings of Adventure,Pinobee: Wings of Adventure
en,Alpine Racer 2,Alpine Racer 2
ru,Alpine Racer 2,Alpine Racer 2
it,Alpine Racer 2,Alpine Racer 2
lld,Alpine Racer 2,Alpine Racer 2
en,Best Bout Boxing,Best Bout Boxing
ja,ベストバウトボクシング,Best Bout Boxing
es,Best Bout Boxing,Best Bout Boxing
th,เบสต์เบาต์บ็อกซิง,Best Bout Boxing
en,Legacy of the Ancients,Legacy of the Ancients
fr,Legacy of the Ancients,Legacy of the Ancients
it,Legacy of the Ancients,Legacy of the Ancients
en,Jon Radoff,Jon Radoff
en,NHLPA Hockey '93,NHLPA Hockey '93
fi,NHLPA Hockey ’93,NHLPA Hockey '93
fr,NHLPA Hockey '93,NHLPA Hockey '93
sv,NHLPA Hockey '93,NHLPA Hockey '93
pl,NHLPA Hockey ’93,NHLPA Hockey '93
lld,NHLPA Hockey '93,NHLPA Hockey '93
ja,三國志VIII,Romance of the Three Kingdoms VIII
en,Romance of the Three Kingdoms VIII,Romance of the Three Kingdoms VIII
zh,三國志VIII,Romance of the Three Kingdoms VIII
ko,삼국지 VIII,Romance of the Three Kingdoms VIII
wuu,三国志VIII,Romance of the Three Kingdoms VIII
en,Star Trek: Voyager – The Arcade Game,Star Trek: Voyager – The Arcade Game
fr,Star Trek: Voyager - The Arcade Game,Star Trek: Voyager – The Arcade Game
en,Lazer Tag,Lazer Tag
en,Arena of Blood,Arena of Blood
fr,Hotel (jeu),Hotel (board game)
it,Hotel (gioco),Hotel (board game)
en,Hotel (board game),Hotel (board game)
nl,Hotel (spel),Hotel (board game)
de,Hotel (Spiel),Hotel (board game)
es,Hotel (juego),Hotel (board game)
ca,Hotel (joc),Hotel (board game)
en,Red Ocean,Red Ocean
ru,Red Ocean,Red Ocean
sv,Red Ocean,Red Ocean
fr,Red Ocean,Red Ocean
en,Dynasty Tactics,Dynasty Tactics
ja,三國志戦記,Dynasty Tactics
zh,三國志戰記,Dynasty Tactics
fr,Dynasty Tactics,Dynasty Tactics
lld,Dynasty Tactics,Dynasty Tactics
